episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
21.5,0,2,0,0,0,0,2.5,3.0,2.625,10.5
77.0,9,2,23.5,27.0,25.0,225.0,1.0,4.5,3.0833333333333335,37.0
632.0,142,2,23.0,44.5,28.922535211267604,4107.0,2.5,19.5,5.691780821917808,831.0
167.0,31,2,23.5,34.5,26.967741935483872,836.0,2.5,10.5,4.722222222222222,170.0
495.0,83,2,22.5,61.5,27.987951807228917,2323.0,2.0,30.5,4.927777777777778,443.5
552.5,109,2,22.5,38.5,26.857798165137616,2927.5,2.0,13.5,4.517857142857143,506.0
165.0,28,2,23.5,35.5,27.839285714285715,779.5,2.5,10.5,5.1875,166.0
2080.0,476,2,22.5,101.0,30.330882352941178,14437.5,2.0,67.5,6.0271398747390394,2887.0
568.5,118,2,22.5,81.5,30.21186440677966,3565.0,2.5,48.0,5.648760330578512,683.5
1110.0,252,2,22.5,57.0,29.18452380952381,7354.5,2.5,31.0,5.647859922178989,1451.5
