episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
246.5,63,2,24.0,46.0,31.103174603174605,1959.5,2.0,14.0,6.835820895522388,458.0
3600.0,943,0,23.5,763.0,135.8759278897137,128131.0,3.0,2068.0,18.405163329820866,17466.5
3600.0,970,0,23.5,587.5,99.69226804123711,96701.5,1.5,1519.5,15.58997955010225,15247.0
3600.0,1036,0,23.0,1216.5,122.99662162162163,127424.5,0.5,1193.0,16.018216682646212,16707.0
3600.0,1031,0,23.0,1489.0,128.0838991270611,132054.5,2.0,1453.0,16.13921001926782,16752.5
3600.0,876,0,24.0,1264.5,143.21689497716895,125458.0,0.5,2199.0,19.510758776896942,17228.0
3600.0,902,0,23.0,861.5,118.42461197339246,106819.0,2.0,2024.0,17.887665198237887,16242.0
3600.0,1065,0,23.5,1088.0,122.28262910798122,130231.0,2.0,1064.5,14.913712686567164,15987.5
244.5,62,2,23.5,91.0,36.104838709677416,2238.5,2.5,62.5,7.356060606060606,485.5
3600.0,1018,0,23.0,1290.0,127.51817288801571,129813.5,2.5,1263.0,16.111328125,16498.0
