episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
471.0,214,2,20.0,27.0,22.378504672897197,4789.0,1.5,6.0,2.2545454545454544,496.0
881.0,362,2,20.0,39.5,23.026243093922652,8335.5,1.5,9.5,2.640710382513661,966.5
43.5,14,2,20.5,24.5,22.321428571428573,312.5,1.5,3.5,2.0789473684210527,39.5
151.5,57,2,20.0,26.0,22.20175438596491,1265.5,1.5,5.5,2.25,139.5
822.5,357,2,20.0,28.5,22.22128851540616,7933.0,1.5,7.0,2.2320441988950277,808.0
446.0,200,2,20.0,26.0,22.11,4422.0,1.5,5.5,2.0935960591133007,425.0
173.0,61,2,20.0,26.0,21.565573770491802,1315.5,1.5,4.0,1.9191176470588236,130.5
493.0,219,2,19.5,26.0,22.057077625570777,4830.5,0.5,5.0,2.0733333333333333,466.5
807.0,345,2,20.0,28.0,22.244927536231884,7674.5,1.5,6.0,2.2471428571428573,786.5
962.0,416,2,19.5,32.5,22.731971153846153,9456.5,1.5,8.0,2.48090692124105,1039.5
