episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
724.0,142,2,20.0,25.5,21.62676056338028,3071.0,1.5,3.5,1.8595890410958904,271.5
103.5,13,2,20.0,21.5,21.076923076923077,274.0,1.5,2.0,1.6333333333333333,24.5
376.5,82,2,20.0,26.0,21.676829268292682,1777.5,1.5,5.0,2.0476190476190474,172.0
302.0,57,2,20.0,24.0,21.69298245614035,1236.5,1.5,3.5,1.8916666666666666,113.5
370.5,88,2,20.0,24.5,21.607954545454547,1901.5,1.5,4.0,1.9285714285714286,175.5
757.0,165,2,20.0,26.0,21.548484848484847,3555.5,1.5,4.0,1.8892215568862276,315.5
335.0,73,2,20.0,24.0,21.383561643835616,1561.0,1.5,3.5,1.82,136.5
473.0,107,2,20.0,26.0,21.560747663551403,2307.0,1.5,5.0,1.8863636363636365,207.5
340.0,68,2,19.5,25.5,21.845588235294116,1485.5,1.5,5.0,1.9225352112676057,136.5
874.0,186,2,20.0,26.0,21.631720430107528,4023.5,1.5,5.5,1.9576719576719577,370.0
