episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
93.5,23,2,20.5,24.0,21.608695652173914,497.0,1.5,3.5,2.0,50.0
1046.0,305,2,20.0,26.5,21.82295081967213,6656.0,1.5,4.5,2.02258064516129,627.0
654.0,243,2,20.0,27.5,22.242798353909464,5405.0,1.5,6.5,2.2540650406504064,554.5
85.5,25,2,20.5,23.0,21.38,534.5,0.5,2.5,1.75,52.5
696.0,221,2,19.5,29.0,22.031674208144796,4869.0,1.5,7.5,2.1434977578475336,478.0
472.5,156,2,20.0,27.0,21.846153846153847,3408.0,1.5,6.0,2.034375,325.5
536.0,168,2,20.0,31.5,22.357142857142858,3756.0,1.0,8.5,2.3238636363636362,409.0
92.5,26,2,20.0,23.0,21.73076923076923,565.0,1.5,3.5,1.9827586206896552,57.5
21.5,0,2,0,0,0,0,1.0,2.0,1.6,8.0
579.0,190,2,20.0,26.0,21.860526315789475,4153.5,1.5,5.0,2.005128205128205,391.0
