episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
520.5,175,2,20.0,25.5,21.97142857142857,3845.0,1.5,4.0,2.0112359550561796,358.0
58.0,16,2,20.0,24.5,22.1875,355.0,1.5,4.0,2.2045454545454546,48.5
214.5,88,2,20.5,27.0,22.176136363636363,1951.5,1.5,6.0,2.092391304347826,192.5
323.0,118,2,20.0,27.0,22.16949152542373,2616.0,1.5,5.5,2.182926829268293,268.5
93.0,25,2,20.0,26.5,22.14,553.5,1.5,4.5,2.1379310344827585,62.0
90.5,28,2,20.5,25.5,22.589285714285715,632.5,1.5,4.0,2.306451612903226,71.5
353.0,120,2,20.0,30.0,22.283333333333335,2674.0,1.5,7.0,2.3114754098360657,282.0
1691.5,627,2,20.0,30.0,22.149920255183414,13888.0,1.5,8.0,2.15689381933439,1361.0
465.5,168,2,20.0,26.0,22.050595238095237,3704.5,0.5,5.0,2.14,374.5
305.5,117,2,20.0,27.0,21.82905982905983,2554.0,1.5,6.0,1.9836065573770492,242.0
