episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
55.5,9,2,20.5,23.0,21.77777777777778,196.0,1.5,2.5,1.7727272727272727,19.5
725.5,170,2,20.0,25.5,21.729411764705883,3694.0,1.5,4.5,1.916184971098266,331.5
587.0,175,2,20.0,26.0,21.78,3811.5,1.5,5.0,2.0084745762711864,355.5
28.5,1,2,20.5,20.5,20.5,20.5,1.5,2.5,1.75,7.0
497.0,134,2,20.0,27.0,21.720149253731343,2910.5,1.5,5.0,1.9166666666666667,264.5
88.5,16,2,21.0,24.0,21.875,350.0,1.5,3.5,1.9444444444444444,35.0
817.5,224,2,20.0,25.5,21.794642857142858,4882.0,1.5,5.0,1.9955947136563876,453.0
483.5,139,2,20.0,26.0,21.863309352517987,3039.0,1.5,5.0,2.0141843971631204,284.0
30.0,0,2,0,0,0,0,1.5,1.5,1.5,4.5
890.0,210,2,19.5,25.0,21.576190476190476,4531.0,1.5,3.5,1.908878504672897,408.5
