episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
555.5,217,2,20.0,35.5,25.997695852534562,5641.5,1.5,9.0,3.185267857142857,713.5
1392.5,595,2,20.0,56.0,26.834453781512604,15966.5,0.5,16.0,3.429519071310116,2068.0
3367.5,1520,2,20.0,47.5,25.908223684210526,39380.5,1.5,11.5,3.1790163934426228,4848.0
2676.0,1227,2,20.0,44.5,25.91361043194784,31796.0,1.5,10.0,3.1645056726094003,3905.0
2071.0,925,2,20.5,52.5,26.025945945945946,24074.0,1.5,14.5,3.1506996770721205,2927.0
215.5,85,2,21.0,33.0,26.241176470588236,2230.5,0.5,8.5,3.446236559139785,320.5
2480.5,1071,2,20.0,37.5,25.727357609710552,27554.0,1.5,11.0,3.120817843866171,3358.0
776.0,323,2,20.0,44.0,25.891640866873065,8363.0,1.5,11.0,3.18693009118541,1048.5
3600.0,1594,0,20.0,44.5,25.897741530740277,41281.0,1.5,16.5,3.125156445556946,4994.0
516.5,198,2,20.0,33.5,25.57323232323232,5063.5,1.5,8.5,2.9804878048780488,611.0
