episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
3600.0,789,0,20.0,32.0,24.89163498098859,19639.5,1.5,8.5,2.8381795195954487,2245.0
3600.0,766,0,20.0,31.5,24.472584856396868,18746.0,1.5,9.0,2.7229465449804433,2088.5
906.0,185,2,19.5,30.5,24.513513513513512,4535.0,1.5,7.5,2.7578947368421054,524.0
3600.0,805,0,20.0,33.0,24.790683229813666,19956.5,1.5,8.5,2.7903225806451615,2249.0
3600.0,800,0,20.0,31.0,24.564375,19651.5,1.5,8.0,2.753433208489388,2205.5
3217.5,722,2,20.0,32.0,24.666897506925206,17809.5,1.5,8.5,2.7458677685950414,1993.5
438.5,101,2,20.0,32.0,24.900990099009903,2515.0,1.5,9.0,2.943396226415094,312.0
2164.5,509,2,20.0,32.0,24.81532416502947,12631.0,1.5,7.5,2.8213592233009708,1453.0
1920.0,431,2,20.0,32.5,24.655452436194896,10626.5,1.5,6.0,2.7362385321100917,1193.0
3600.0,842,0,20.0,34.5,24.76128266033254,20849.0,1.0,9.5,2.811834319526627,2376.0
