episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
1800.5,587,2,20.0,35.5,24.97870528109029,14662.5,1.5,8.5,2.8741554054054053,1701.5
3600.0,1144,0,19.5,35.5,25.02534965034965,28629.0,1.5,9.5,2.8961605584642234,3319.0
3600.0,1187,0,20.0,39.5,25.082139848357205,29772.5,1.5,9.5,2.850589225589226,3386.5
3438.0,1107,2,20.0,39.5,25.210027100271002,27907.5,1.5,9.5,2.9608460846084608,3289.5
435.5,167,2,20.5,37.0,25.34131736526946,4232.0,0.5,7.0,2.811046511627907,483.5
2070.0,688,2,20.0,37.0,25.214389534883722,17347.5,1.0,11.0,2.94164265129683,2041.5
2395.0,757,2,20.0,33.0,24.91545574636724,18861.0,1.5,7.5,2.8453473132372213,2171.0
2141.0,712,2,20.0,42.5,25.554073033707866,18194.5,1.5,14.5,3.0552447552447553,2184.5
1274.0,412,2,20.0,50.5,25.508495145631066,10509.5,1.5,11.5,3.0095693779904304,1258.0
3600.0,1213,0,20.0,39.0,25.117889530090686,30468.0,1.5,8.5,2.8787006578947367,3500.5
