episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
3600.0,1398,0,20.0,51.5,25.47925608011445,35620.0,0.5,9.0,3.0010714285714286,4201.5
1004.0,422,2,20.0,36.5,25.55687203791469,10785.0,1.5,8.0,3.0163934426229506,1288.0
2520.0,983,2,20.0,53.0,25.77314343845371,25335.0,1.5,12.5,3.1093117408906883,3072.0
1379.0,530,2,20.0,42.0,25.445283018867926,13486.0,1.5,10.0,3.00281425891182,1600.5
2166.5,841,2,20.0,45.5,25.599881093935792,21529.5,1.5,13.5,3.0803782505910164,2606.0
3600.0,1344,0,20.0,36.0,25.213541666666668,33887.0,1.5,10.5,2.9166048925129724,3934.5
2386.5,957,2,20.0,35.0,25.477011494252874,24381.5,1.5,9.5,3.002596053997923,2891.5
1320.5,468,2,20.0,38.0,25.330128205128204,11854.5,0.5,10.5,2.9895833333333335,1435.0
3600.0,1410,0,20.0,37.5,25.42482269503546,35849.0,1.5,10.0,2.9971731448763252,4241.0
2734.0,1038,2,19.5,60.0,25.943159922928707,26929.0,1.5,21.5,3.136625119846596,3271.5
