episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
2669.0,598,2,22.5,167.5,31.922240802675585,19089.5,1.5,141.5,6.291044776119403,3793.5
48.5,2,2,22.5,25.0,23.75,47.5,2.5,3.0,2.9166666666666665,17.5
1545.0,365,2,23.0,61.0,29.895890410958906,10912.0,0.5,37.5,6.248641304347826,2299.5
1620.0,381,2,23.0,239.5,54.48425196850393,20758.5,1.0,214.5,11.427272727272728,4399.5
1259.5,275,2,22.5,56.0,29.12727272727273,8010.0,2.0,32.5,5.729390681003585,1598.5
3600.0,784,0,22.0,227.5,39.464285714285715,30940.0,2.5,203.0,7.955470737913486,6253.0
371.5,68,2,23.0,32.5,26.301470588235293,1788.5,2.5,9.5,4.118055555555555,296.5
3473.5,754,2,22.0,57.5,28.090848806366047,21180.5,2.5,33.0,5.205145118733509,3945.5
349.0,80,2,22.5,39.0,28.075,2246.0,2.5,12.5,5.279761904761905,443.5
315.0,64,2,23.5,38.5,27.1484375,1737.5,2.5,11.5,4.6231884057971016,319.0
