episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
3600.0,1023,0,23.0,1455.5,112.82697947214076,115422.0,2.5,1423.0,14.654854368932039,15094.5
3600.0,924,0,24.0,1086.5,152.21969696969697,140651.0,2.5,1063.0,18.732296137339056,17458.5
3600.0,1021,0,23.5,1417.0,107.92899118511264,110195.5,1.5,1394.0,14.493677042801556,14899.5
3600.0,908,0,24.0,1018.0,114.24394273127753,103733.5,3.0,1400.5,17.629791894852136,16096.0
461.5,130,2,22.5,67.0,33.44615384615385,4348.0,2.0,39.0,7.775735294117647,1057.5
3600.0,1006,0,23.5,830.5,135.06113320079524,135871.5,2.0,807.5,16.331360946745562,16560.0
3600.0,979,0,25.0,1482.5,136.05720122574056,133200.0,3.0,1410.0,17.595744680851062,17367.0
3600.0,1083,0,23.5,1049.5,100.95891043397968,109338.5,2.5,989.0,13.595783684692941,14833.0
18.5,0,2,0,0,0,0,2.0,2.0,2.0,4.0
3600.0,1005,0,23.0,672.0,112.87014925373134,113434.5,1.5,1615.5,15.605237154150197,15792.5
