episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
3600.0,1054,0,23.5,586.5,95.88330170777989,101061.0,3.0,563.5,12.549528301886792,13302.5
3600.0,972,0,23.5,1626.0,124.95318930041152,121454.5,2.5,1364.0,16.103166496424922,15765.0
3389.5,947,2,23.5,809.5,102.2507919746568,96831.5,1.5,1129.0,14.0797481636936,13418.0
23.5,0,2,0,0,0,0,2.5,3.0,2.75,11.0
3600.0,842,0,23.5,1604.5,133.29750593824227,112236.5,3.0,2592.5,20.060659599528858,17031.5
3494.0,1187,2,23.5,1156.5,96.21609098567818,114208.5,1.0,1497.5,12.207705192629815,14576.0
3600.0,1012,0,23.0,841.0,113.97282608695652,115340.5,2.5,754.5,14.378802747791953,14652.0
3600.0,1011,0,24.0,1626.5,123.66320474777449,125023.5,0.5,1827.0,15.865913555992142,16151.5
344.0,81,2,23.5,46.0,30.228395061728396,2448.5,2.5,12.5,6.135294117647059,521.5
3600.0,915,0,24.0,1217.0,113.56939890710383,103916.0,3.0,3258.5,18.81798483206934,17369.0
