episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
3600.0,950,0,24.5,1645.0,133.1157894736842,126460.0,3.0,1790.0,17.85005224660397,17082.5
3600.0,1126,0,24.0,2701.5,126.45559502664298,142389.0,0.5,2667.5,14.24273127753304,16165.5
22.5,0,2,0,0,0,0,1.5,3.5,2.7,13.5
3600.0,1240,0,23.5,1339.5,118.6975806451613,147185.0,1.5,1316.0,12.124198717948717,15131.0
3600.0,1112,0,24.5,1077.5,112.82598920863309,125462.5,0.5,1726.0,14.536607142857143,16281.0
3600.0,1006,0,23.5,689.0,111.26838966202783,111936.0,0.5,3272.5,16.644827586206898,16894.5
3600.0,1132,0,25.0,1421.0,126.39973498233215,143084.5,3.5,1396.5,14.511413520632134,16528.5
3600.0,951,0,24.0,1352.0,109.7434279705573,104366.0,1.5,2705.0,17.585594989561585,16847.0
3600.0,1049,0,23.5,1734.5,115.47521448999046,121133.5,3.0,1682.0,15.17345971563981,16008.0
3600.0,1039,0,23.0,1374.5,139.03994225216553,144462.5,2.5,1306.0,15.506214149139579,16219.5
