episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
324.0,146,2,20.0,26.0,21.97945205479452,3209.0,1.5,5.0,1.9966216216216217,295.5
685.0,302,2,20.0,27.0,22.076158940397352,6667.0,1.5,5.0,2.130718954248366,652.0
511.5,230,2,20.0,27.5,22.204347826086956,5107.0,1.5,6.5,2.168103448275862,503.0
361.0,133,2,20.0,26.5,22.01127819548872,2927.5,1.5,5.0,2.1333333333333333,288.0
249.0,97,2,20.0,35.5,23.74742268041237,2303.5,1.5,10.0,3.1732673267326734,320.5
14.5,0,2,0,0,0,0,1.5,1.5,1.5,3.0
135.5,47,2,19.5,24.5,21.829787234042552,1026.0,1.5,4.0,1.9339622641509433,102.5
193.0,60,2,20.0,25.5,22.05,1323.0,1.5,4.0,2.0555555555555554,129.5
330.5,154,2,20.0,42.0,23.711038961038962,3651.5,1.5,16.0,3.0573248407643314,480.0
215.0,93,2,20.0,29.0,22.817204301075268,2122.0,1.5,7.0,2.556701030927835,248.0
