episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
2424.5,525,2,19.5,26.0,21.505714285714287,11290.5,1.5,5.0,1.865530303030303,985.0
32.5,1,2,20.5,20.5,20.5,20.5,1.5,2.0,1.625,6.5
1273.5,287,2,20.0,25.5,21.639372822299652,6210.5,1.5,4.0,1.9137931034482758,555.0
107.5,23,2,21.0,23.0,21.934782608695652,504.5,1.5,2.5,1.9444444444444444,52.5
487.5,120,2,20.0,26.0,21.733333333333334,2608.0,1.5,5.0,1.9795081967213115,241.5
95.0,14,2,21.0,24.5,21.821428571428573,305.5,1.5,3.0,1.9210526315789473,36.5
365.5,71,2,20.0,25.0,21.640845070422536,1536.5,1.5,4.5,1.8904109589041096,138.0
59.0,10,2,20.0,23.0,21.15,211.5,1.5,2.0,1.6538461538461537,21.5
1481.5,286,2,20.0,25.0,21.524475524475523,6156.0,1.5,4.0,1.8477508650519032,534.0
60.0,9,2,20.5,22.5,21.333333333333332,192.0,1.5,2.5,1.7727272727272727,19.5
