episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
1818.0,594,2,19.5,36.5,22.214646464646464,13195.5,1.5,13.5,2.2462311557788945,1341.0
383.5,112,2,20.0,26.0,21.772321428571427,2438.5,1.5,5.0,1.9912280701754386,227.0
279.0,92,2,20.5,27.5,21.782608695652176,2004.0,1.5,5.0,2.015957446808511,189.5
855.0,286,2,19.5,26.5,21.87937062937063,6257.5,1.5,5.0,2.049828178694158,596.5
219.0,72,2,20.5,25.0,21.9375,1579.5,1.5,3.5,1.9342105263157894,147.0
869.5,257,2,19.5,26.0,21.817120622568094,5607.0,1.5,5.5,2.0538461538461537,534.0
443.0,143,2,19.5,27.0,21.912587412587413,3133.5,1.5,6.5,2.0714285714285716,304.5
1087.0,339,2,20.0,27.0,21.817109144542773,7396.0,1.5,6.0,2.013157894736842,688.5
446.0,104,2,19.5,25.5,21.64903846153846,2251.5,1.5,5.0,1.9403669724770642,211.5
182.5,50,2,20.0,26.0,22.12,1106.0,1.5,5.0,2.125,110.5
