episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
1063.5,446,2,20.0,26.0,22.08408071748879,9849.5,1.5,5.5,2.131403118040089,957.0
168.5,74,2,20.0,28.0,23.006756756756758,1702.5,1.5,7.0,2.6923076923076925,210.0
677.5,236,2,20.0,28.0,21.97669491525424,5186.5,1.5,6.0,2.116182572614108,510.0
1052.5,392,2,20.0,27.5,22.022959183673468,8633.0,1.5,6.0,2.101010101010101,832.0
611.5,214,2,20.0,35.0,22.39252336448598,4792.0,1.5,12.0,2.28110599078341,495.0
1254.5,503,2,20.0,28.0,22.120278330019882,11126.5,1.5,6.5,2.1630434782608696,1094.5
1162.5,434,2,20.0,32.5,21.880184331797235,9496.0,1.5,11.0,2.0593607305936072,902.0
655.5,243,2,20.0,32.5,22.94650205761317,5576.0,1.5,9.0,2.6706827309236947,665.0
337.0,111,2,20.5,26.0,21.91891891891892,2433.0,1.5,5.0,2.017543859649123,230.0
1079.0,432,2,20.0,27.0,22.04050925925926,9521.5,1.5,5.5,2.113793103448276,919.5
