episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
2338.0,595,2,20.0,26.5,21.719327731092438,12923.0,1.5,6.0,1.971571906354515,1179.0
1786.5,443,2,19.5,26.5,21.68397291196388,9606.0,0.5,6.5,1.9327354260089686,862.0
332.5,82,2,20.0,25.5,21.664634146341463,1776.5,1.5,5.0,1.9705882352941178,167.5
24.0,1,2,21.0,21.0,21.0,21.0,1.5,1.5,1.5,4.5
215.5,46,2,20.0,24.5,21.82608695652174,1004.0,1.5,3.5,1.91,95.5
117.5,17,2,20.0,22.5,21.235294117647058,361.0,1.5,2.0,1.6904761904761905,35.5
253.5,71,2,20.0,26.0,21.640845070422536,1536.5,1.5,5.0,1.9324324324324325,143.0
22.0,0,2,0,0,0,0,1.5,1.5,1.5,4.5
159.0,41,2,20.0,24.0,21.670731707317074,888.5,1.5,4.0,1.8604651162790697,80.0
992.5,242,2,20.0,28.5,21.65289256198347,5240.0,1.5,5.0,1.9331983805668016,477.5
