episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
386.0,167,2,20.0,36.5,25.892215568862277,4324.0,1.5,10.5,3.1627906976744184,544.0
2891.0,1283,2,20.0,47.5,25.579111457521435,32818.0,1.5,9.5,3.000388198757764,3864.5
635.5,239,2,20.0,32.0,25.0,5975.0,1.5,7.5,2.925101214574899,722.5
3600.0,1637,0,20.5,44.5,26.325595601710447,43095.0,1.5,15.5,3.304202192448234,5425.5
173.5,49,2,21.0,34.5,24.989795918367346,1224.5,0.5,9.0,2.8684210526315788,163.5
1287.5,499,2,19.5,41.0,25.559118236472944,12754.0,1.5,9.0,2.986138613861386,1508.0
1169.0,478,2,20.0,38.5,25.89121338912134,12376.0,1.5,11.0,3.1016597510373445,1495.0
3600.0,1609,0,20.5,43.5,25.869794903666875,41624.5,1.0,13.0,3.2057549504950495,5180.5
3600.0,1581,0,20.0,41.5,25.876660341555976,40911.0,0.5,11.0,3.1437106918238995,4998.5
32.5,3,2,21.5,24.5,23.333333333333332,70.0,2.0,3.5,2.4444444444444446,22.0
