episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
3600.0,748,0,20.0,33.5,24.61764705882353,18414.0,1.0,9.0,2.7586436170212765,2074.5
3600.0,791,0,19.5,31.5,24.716814159292035,19551.0,1.5,8.5,2.7876106194690267,2205.0
491.0,111,2,20.5,29.5,24.554054054054053,2725.5,1.5,5.0,2.6710526315789473,304.5
3600.0,786,0,20.0,33.0,24.66030534351145,19383.0,1.5,7.0,2.7626582278481013,2182.5
675.0,132,2,20.5,34.5,24.761363636363637,3268.5,1.5,5.5,2.8198529411764706,383.5
1401.5,319,2,20.0,31.0,24.67241379310345,7870.5,1.5,8.0,2.7741433021806854,890.5
2393.5,561,2,20.0,34.0,24.614973262032084,13809.0,1.5,7.5,2.724381625441696,1542.0
3600.0,791,0,20.0,34.0,24.622629582806574,19476.5,1.5,9.0,2.755037783375315,2187.5
2121.0,482,2,20.0,33.0,24.61825726141079,11866.0,1.5,11.0,2.73559670781893,1329.5
1659.0,360,2,20.0,31.5,24.676388888888887,8883.5,1.0,9.5,2.8049450549450547,1021.0
