episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
1197.5,391,2,20.0,32.5,25.15984654731458,9837.5,1.5,7.5,2.8756345177664975,1133.0
2307.5,779,2,20.0,43.5,25.530808729139924,19888.5,1.5,13.5,3.042838874680307,2379.5
391.0,99,2,20.0,29.0,24.636363636363637,2439.0,1.5,6.0,2.8446601941747574,293.0
182.0,58,2,20.5,33.0,25.71551724137931,1491.5,0.5,8.0,3.1666666666666665,199.5
250.0,60,2,20.0,31.5,25.208333333333332,1512.5,1.5,8.0,3.015873015873016,190.0
2048.0,670,2,19.5,35.0,25.192537313432837,16879.0,1.5,9.0,2.9223372781065087,1975.5
942.5,271,2,20.5,33.5,25.123616236162363,6808.5,1.5,7.0,2.9072727272727272,799.5
2133.0,692,2,20.0,34.5,25.221098265895954,17453.0,1.5,9.5,2.8803724928366763,2010.5
3600.0,960,0,20.0,36.5,24.996875,23997.0,1.0,10.0,2.8977154724818277,2790.5
1009.0,261,2,20.0,44.0,25.304597701149426,6604.5,1.5,10.5,2.96958174904943,781.0
