episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
3358.0,1306,2,20.0,40.0,25.57044410413476,33395.0,1.5,9.5,3.0453160700685453,3998.5
851.5,357,2,20.5,41.5,25.6218487394958,9147.0,1.5,10.5,3.0041322314049586,1090.5
2675.5,1037,2,20.0,42.0,25.567502410800387,26513.5,1.5,13.0,3.0651340996168583,3200.0
2068.0,761,2,20.0,35.0,25.417214191852825,19342.5,1.5,9.5,3.045751633986928,2330.0
3187.5,1235,2,20.0,41.5,25.839676113360323,31912.0,1.5,13.0,3.178054662379421,3953.5
3600.0,1387,0,19.5,48.5,25.49459264599856,35361.0,1.0,19.5,3.01294964028777,4188.0
2871.5,1154,2,20.0,37.5,25.60528596187175,29548.5,1.0,11.0,3.061584840654608,3554.5
2270.5,948,2,20.0,51.0,26.25685654008439,24891.5,1.5,12.5,3.2586750788643535,3099.0
454.0,150,2,20.0,30.5,24.886666666666667,3733.0,1.5,4.5,2.733974358974359,426.5
2615.0,1011,2,20.0,37.5,25.414935707220575,25694.5,1.0,11.0,2.9940944881889764,3042.0
