episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
1339.0,549,2,20.5,39.5,25.543715846994534,14023.5,1.5,11.0,3.300900900900901,1832.0
1274.0,583,2,20.0,51.0,27.042881646655232,15766.0,1.5,16.5,3.6564625850340136,2150.0
394.0,161,2,20.5,56.0,25.82608695652174,4158.0,1.5,11.0,3.2425149700598803,541.5
110.5,48,2,20.0,30.5,24.666666666666668,1184.0,1.5,5.5,2.892156862745098,147.5
1815.5,783,2,20.0,55.0,27.139208173690932,21250.0,0.5,22.5,3.7306717363751583,2943.5
253.5,113,2,20.0,53.5,30.61061946902655,3459.0,1.5,12.5,4.676229508196721,570.5
2360.5,984,2,20.0,69.5,28.02489837398374,27576.5,1.5,13.5,3.79474216380182,3753.0
2285.0,1054,2,20.5,80.5,28.694022770398483,30243.5,1.5,30.0,3.9783223374175307,4221.0
1264.5,559,2,20.0,63.0,28.361359570661897,15854.0,1.5,39.0,3.97246891651865,2236.5
3109.5,1317,2,20.0,52.0,26.499240698557326,34899.5,1.5,16.0,3.5934190620272313,4750.5
