episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
1076.0,212,2,20.0,33.0,24.492924528301888,5192.5,1.5,9.0,2.858139534883721,614.5
3600.0,846,0,20.0,39.0,24.832151300236408,21008.0,1.5,10.5,2.9617196702002357,2514.5
394.5,86,2,20.0,31.5,24.593023255813954,2115.0,0.5,8.0,2.853932584269663,254.0
2561.0,569,2,19.5,33.5,24.511423550087873,13947.0,1.5,9.0,2.844677137870855,1630.0
508.5,109,2,20.0,32.5,24.5,2670.5,1.5,7.0,2.8053097345132745,317.0
3600.0,747,0,20.0,32.5,24.41164658634538,18235.5,1.5,9.0,2.8106666666666666,2108.0
3600.0,785,0,20.0,35.5,24.629936305732485,19334.5,1.5,11.5,2.866412213740458,2253.0
3600.0,833,0,20.0,38.5,24.600840336134453,20492.5,1.5,10.0,2.8949579831932772,2411.5
3600.0,744,0,20.0,35.5,24.434139784946236,18179.0,1.5,10.0,2.819946452476573,2106.5
953.5,197,2,20.0,31.0,24.31979695431472,4791.0,1.5,6.5,2.7610837438423643,560.5
