episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
3600.0,1196,0,20.0,39.0,25.312709030100333,30274.0,1.5,12.5,3.170975813177648,3802.0
826.0,274,2,20.0,32.0,25.118613138686133,6882.5,1.5,10.0,3.150537634408602,879.0
1420.5,485,2,20.0,38.5,25.42886597938144,12333.0,1.5,9.0,3.132924335378323,1532.0
3481.5,1110,2,19.5,37.5,25.277927927927927,28058.5,1.5,10.0,3.14304932735426,3504.5
566.0,171,2,20.0,44.5,25.885964912280702,4426.5,0.5,9.5,3.440340909090909,605.5
376.0,108,2,20.5,32.5,25.00462962962963,2700.5,1.5,8.5,3.1,356.5
3600.0,1176,0,20.0,41.0,24.999574829931973,29399.5,1.0,12.0,3.0427966101694914,3590.5
3600.0,1240,0,20.0,47.5,25.56935483870968,31706.0,1.0,11.5,3.214400643604183,3995.5
964.0,318,2,20.0,45.5,25.52987421383648,8118.5,1.5,12.0,3.184049079754601,1038.0
3600.0,1160,0,20.0,40.5,25.27758620689655,29322.0,0.5,12.0,3.1282161234991426,3647.5
