episode_duration,number_of_vehicles_left_succesfully,number_of_collisions,min_travel_time,max_travel_time,avg_travel_time,total_travel_time,min_time_in_control_zone,max_time_in_control_zone,avg_time_in_control_zone,total_time_in_control_zone
786.5,261,2,20.0,33.5,24.99425287356322,6523.5,1.5,7.5,3.0545112781954886,812.5
414.5,121,2,20.0,42.0,25.458677685950413,3080.5,1.5,9.5,3.2379032258064515,401.5
370.0,109,2,20.0,34.5,25.353211009174313,2763.5,1.5,7.0,3.02212389380531,341.5
773.5,184,2,20.0,46.5,25.578804347826086,4706.5,1.5,10.5,3.0978835978835977,585.5
2576.0,762,2,20.0,37.5,24.849081364829395,18935.0,1.5,9.5,3.011125654450262,2300.5
3600.0,1189,0,20.0,49.5,25.749789739276704,30616.5,1.5,13.5,3.2789915966386554,3902.0
921.5,316,2,20.0,41.5,25.196202531645568,7962.0,0.5,10.5,3.191588785046729,1024.5
792.5,190,2,20.0,33.5,24.410526315789475,4638.0,1.5,9.0,2.872448979591837,563.0
2522.5,785,2,19.5,44.5,25.34203821656051,19893.5,1.5,13.5,3.1700507614213196,2498.0
410.0,115,2,20.0,32.0,24.8,2852.0,1.5,10.0,2.9322033898305087,346.0
