run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,66,14.0,20.106060606060606,34.0,1.0,1.696969696969697,9.0
1,50,15.0,18.28,27.0,1.0,1.28,7.0
2,64,14.0,19.046875,28.0,1.0,1.21875,4.0
3,52,14.0,17.903846153846153,28.0,1.0,1.1923076923076923,4.0
4,49,15.0,18.020408163265305,26.0,1.0,1.1428571428571428,3.0
5,58,15.0,18.379310344827587,26.0,1.0,1.206896551724138,6.0
6,54,14.0,18.01851851851852,26.0,1.0,1.1481481481481481,4.0
7,57,14.0,19.596491228070175,27.0,1.0,1.7894736842105263,9.0
8,64,15.0,19.25,32.0,1.0,1.546875,6.0
9,58,14.0,17.482758620689655,27.0,1.0,1.1551724137931034,5.0
10,64,15.0,19.640625,30.0,1.0,1.265625,6.0
11,43,14.0,18.046511627906977,26.0,1.0,1.1627906976744187,3.0
12,60,15.0,18.55,31.0,1.0,1.25,5.0
13,71,15.0,19.112676056338028,31.0,1.0,1.295774647887324,5.0
14,44,15.0,17.068181818181817,22.0,1.0,1.0681818181818181,3.0
15,61,15.0,18.114754098360656,30.0,1.0,1.2622950819672132,5.0
16,53,14.0,18.037735849056602,28.0,1.0,1.2452830188679245,4.0
17,73,13.0,18.301369863013697,30.0,1.0,1.2465753424657535,6.0
18,61,14.0,18.442622950819672,33.0,1.0,1.2131147540983607,6.0
19,52,15.0,18.75,27.0,1.0,1.1346153846153846,3.0
20,63,14.0,19.46031746031746,32.0,1.0,1.6349206349206349,8.0
21,52,15.0,17.98076923076923,25.0,1.0,1.1153846153846154,3.0
22,59,14.0,17.796610169491526,26.0,1.0,1.0677966101694916,2.0
23,59,14.0,17.52542372881356,26.0,1.0,1.1694915254237288,3.0
24,46,14.0,17.67391304347826,22.0,1.0,1.1304347826086956,4.0
25,72,15.0,18.02777777777778,25.0,1.0,1.125,3.0
26,65,14.0,17.96923076923077,28.0,1.0,1.123076923076923,3.0
27,52,14.0,17.942307692307693,28.0,1.0,1.0961538461538463,3.0
28,58,14.0,18.913793103448278,31.0,1.0,1.2241379310344827,5.0
29,75,14.0,18.92,29.0,1.0,1.1866666666666668,3.0
30,51,14.0,18.274509803921568,28.0,1.0,1.3137254901960784,6.0
31,61,15.0,17.295081967213115,24.0,1.0,1.0163934426229508,2.0
32,67,14.0,19.16417910447761,33.0,1.0,1.492537313432836,6.0
33,55,15.0,17.618181818181817,21.0,1.0,1.1090909090909091,2.0
34,60,15.0,19.65,37.0,1.0,1.2333333333333334,5.0
35,57,14.0,18.82456140350877,30.0,1.0,1.280701754385965,6.0
36,55,14.0,18.6,29.0,1.0,1.1454545454545455,5.0
37,57,14.0,17.473684210526315,24.0,1.0,1.0701754385964912,2.0
38,59,14.0,17.271186440677965,25.0,1.0,1.0847457627118644,3.0
39,63,14.0,19.88888888888889,39.0,1.0,1.7936507936507937,12.0
40,59,14.0,17.915254237288135,25.0,1.0,1.2033898305084745,7.0
41,63,15.0,19.38095238095238,29.0,1.0,1.492063492063492,8.0
