run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,139,16.0,49.54676258992806,87.0,1.0,3.5899280575539567,13.0
1,130,15.0,64.05384615384615,125.0,1.0,11.176923076923076,36.0
2,140,15.0,45.09285714285714,96.0,1.0,4.107142857142857,15.0
3,129,15.0,53.03875968992248,100.0,1.0,5.596899224806202,17.0
4,145,15.0,62.51034482758621,101.0,1.0,4.972413793103448,12.0
5,130,15.0,52.86153846153846,101.0,1.0,5.9,16.0
6,133,16.0,61.526315789473685,123.0,1.0,6.984962406015038,27.0
7,132,15.0,58.90151515151515,120.0,1.0,9.159090909090908,28.0
8,142,16.0,52.563380281690144,99.0,1.0,4.598591549295775,13.0
9,141,15.0,51.737588652482266,99.0,1.0,5.446808510638298,16.0
10,125,15.0,50.16,85.0,1.0,4.704,19.0
11,124,15.0,68.3225806451613,105.0,1.0,9.290322580645162,38.0
12,138,15.0,49.3768115942029,100.0,1.0,4.572463768115942,11.0
13,137,16.0,57.68613138686131,105.0,1.0,5.569343065693431,15.0
14,135,14.0,55.34074074074074,107.0,1.0,7.007407407407407,18.0
15,127,15.0,33.62992125984252,71.0,1.0,2.921259842519685,10.0
16,135,15.0,68.36296296296297,115.0,1.0,8.074074074074074,22.0
17,139,15.0,50.58273381294964,98.0,1.0,4.345323741007194,11.0
18,130,15.0,31.676923076923078,82.0,1.0,1.9461538461538461,6.0
19,133,16.0,65.26315789473684,112.0,1.0,7.684210526315789,19.0
20,133,15.0,65.44360902255639,111.0,1.0,9.278195488721805,27.0
21,134,14.0,45.917910447761194,98.0,1.0,5.0,17.0
22,140,16.0,66.72857142857143,103.0,1.0,6.664285714285715,16.0
23,134,16.0,52.47761194029851,111.0,1.0,6.507462686567164,21.0
24,133,14.0,56.097744360902254,91.0,1.0,3.7142857142857144,15.0
25,143,16.0,64.57342657342657,100.0,1.0,4.769230769230769,9.0
26,133,15.0,54.97744360902256,112.0,1.0,6.225563909774436,22.0
27,120,15.0,35.84166666666667,84.0,1.0,4.658333333333333,23.0
28,133,14.0,45.443609022556394,101.0,1.0,4.902255639097745,17.0
29,124,14.0,32.33870967741935,67.0,1.0,3.5483870967741935,15.0
30,134,15.0,58.96268656716418,110.0,1.0,5.91044776119403,15.0
31,130,14.0,33.253846153846155,75.0,1.0,3.5307692307692307,17.0
32,130,14.0,47.63076923076923,92.0,1.0,5.2846153846153845,14.0
33,126,15.0,72.21428571428571,128.0,1.0,13.555555555555555,41.0
34,146,15.0,62.57534246575342,105.0,1.0,5.924657534246576,15.0
35,133,15.0,49.91729323308271,98.0,1.0,3.8646616541353382,11.0
36,131,17.0,52.68702290076336,99.0,1.0,5.641221374045801,13.0
37,136,15.0,56.27205882352941,94.0,1.0,4.801470588235294,14.0
38,133,17.0,54.390977443609025,105.0,1.0,5.834586466165414,19.0
39,134,15.0,51.35820895522388,91.0,1.0,4.08955223880597,14.0
40,133,15.0,53.48872180451128,96.0,1.0,4.93984962406015,15.0
41,140,15.0,59.51428571428571,111.0,1.0,6.285714285714286,20.0
