run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,102,14.0,21.41176470588235,41.0,1.0,1.8333333333333333,7.0
1,110,14.0,23.845454545454544,49.0,1.0,2.481818181818182,11.0
2,125,14.0,28.584,75.0,1.0,2.96,16.0
3,99,14.0,21.434343434343436,38.0,1.0,2.202020202020202,11.0
4,94,14.0,20.829787234042552,36.0,1.0,1.6914893617021276,11.0
5,108,15.0,28.925925925925927,60.0,1.0,3.759259259259259,13.0
6,114,14.0,23.850877192982455,50.0,1.0,1.7719298245614035,5.0
7,118,15.0,22.5,44.0,1.0,2.4491525423728815,12.0
8,119,14.0,28.03361344537815,64.0,1.0,2.8739495798319328,10.0
9,105,15.0,24.79047619047619,56.0,1.0,2.0761904761904764,11.0
10,116,15.0,26.75,70.0,1.0,2.603448275862069,14.0
11,96,15.0,20.3125,35.0,1.0,1.8125,9.0
12,115,15.0,25.973913043478262,60.0,1.0,2.860869565217391,10.0
13,126,15.0,27.936507936507937,53.0,1.0,3.2936507936507935,11.0
14,110,15.0,27.472727272727273,60.0,1.0,3.418181818181818,18.0
15,101,15.0,21.366336633663366,41.0,1.0,1.99009900990099,13.0
16,110,15.0,24.045454545454547,42.0,1.0,2.6272727272727274,12.0
17,124,14.0,28.524193548387096,58.0,1.0,2.532258064516129,10.0
18,116,14.0,28.482758620689655,58.0,1.0,3.4051724137931036,20.0
19,103,15.0,23.41747572815534,51.0,1.0,1.9805825242718447,6.0
20,115,14.0,26.713043478260868,51.0,1.0,3.6869565217391305,22.0
21,101,14.0,21.93069306930693,46.0,1.0,1.99009900990099,9.0
22,100,15.0,26.56,70.0,1.0,2.05,10.0
23,109,15.0,27.30275229357798,60.0,1.0,2.541284403669725,14.0
24,114,15.0,31.640350877192983,62.0,1.0,4.254385964912281,22.0
25,116,15.0,30.32758620689655,59.0,1.0,5.077586206896552,23.0
26,112,15.0,21.142857142857142,33.0,1.0,1.5357142857142858,5.0
27,105,14.0,25.123809523809523,64.0,1.0,2.4,13.0
28,104,14.0,27.096153846153847,62.0,1.0,2.923076923076923,15.0
29,119,14.0,28.789915966386555,65.0,1.0,2.6470588235294117,9.0
30,115,15.0,29.83478260869565,62.0,1.0,4.147826086956521,21.0
31,116,15.0,26.362068965517242,47.0,1.0,2.336206896551724,10.0
32,98,15.0,20.979591836734695,40.0,1.0,1.4285714285714286,8.0
33,124,14.0,25.5,46.0,1.0,2.3306451612903225,10.0
34,115,15.0,25.530434782608694,43.0,1.0,2.4434782608695653,11.0
35,115,14.0,22.382608695652173,41.0,1.0,1.8869565217391304,10.0
36,99,15.0,23.03030303030303,39.0,1.0,2.242424242424242,8.0
37,109,14.0,23.394495412844037,50.0,1.0,2.1192660550458715,10.0
38,113,15.0,26.778761061946902,65.0,1.0,2.7610619469026547,10.0
39,126,15.0,37.57142857142857,89.0,1.0,4.079365079365079,18.0
40,102,15.0,23.764705882352942,45.0,1.0,2.0294117647058822,6.0
41,101,15.0,21.613861386138613,40.0,1.0,2.0396039603960396,15.0
