run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,126,14.0,46.86507936507937,94.0,1.0,4.111111111111111,16.0
1,131,15.0,51.6793893129771,108.0,1.0,6.137404580152672,22.0
2,97,14.0,29.79381443298969,67.0,1.0,1.3608247422680413,3.0
3,127,15.0,39.14173228346457,89.0,1.0,4.094488188976378,18.0
4,109,14.0,36.23853211009175,85.0,1.0,2.532110091743119,10.0
5,104,14.0,23.201923076923077,42.0,1.0,1.7884615384615385,6.0
6,127,14.0,42.32283464566929,89.0,1.0,2.7401574803149606,9.0
7,111,14.0,27.89189189189189,51.0,1.0,2.036036036036036,9.0
8,106,15.0,27.27358490566038,56.0,1.0,1.7358490566037736,5.0
9,134,16.0,42.917910447761194,101.0,1.0,4.119402985074627,10.0
10,112,14.0,30.294642857142858,68.0,1.0,1.5982142857142858,4.0
11,127,14.0,47.188976377952756,102.0,1.0,4.110236220472441,11.0
12,124,14.0,27.741935483870968,53.0,1.0,2.846774193548387,16.0
13,134,14.0,29.03731343283582,63.0,1.0,2.8134328358208953,11.0
14,112,15.0,38.044642857142854,85.0,1.0,2.6964285714285716,10.0
15,126,14.0,42.73809523809524,99.0,1.0,4.079365079365079,17.0
16,119,14.0,44.747899159663866,84.0,1.0,2.4873949579831933,7.0
17,137,15.0,49.160583941605836,99.0,1.0,4.562043795620438,14.0
18,105,14.0,34.371428571428574,73.0,1.0,1.8,7.0
19,108,14.0,29.09259259259259,62.0,1.0,1.8703703703703705,6.0
20,132,15.0,40.92424242424242,99.0,1.0,4.151515151515151,18.0
21,124,15.0,50.63709677419355,106.0,1.0,5.951612903225806,20.0
22,105,15.0,35.96190476190476,83.0,1.0,1.8476190476190477,7.0
23,126,15.0,51.01587301587302,112.0,1.0,7.412698412698413,29.0
24,113,15.0,37.26548672566372,98.0,1.0,3.0707964601769913,20.0
25,123,15.0,28.4390243902439,66.0,1.0,1.991869918699187,7.0
26,132,14.0,50.371212121212125,111.0,1.0,6.659090909090909,25.0
27,109,15.0,31.68807339449541,69.0,1.0,2.4128440366972477,14.0
28,116,15.0,49.60344827586207,86.0,1.0,4.120689655172414,15.0
29,112,14.0,42.714285714285715,84.0,1.0,3.25,16.0
30,131,14.0,41.152671755725194,80.0,1.0,4.679389312977099,18.0
31,131,15.0,49.961832061068705,106.0,1.0,4.793893129770993,15.0
32,108,15.0,31.61111111111111,70.0,1.0,1.6481481481481481,5.0
33,138,17.0,53.67391304347826,115.0,1.0,6.0144927536231885,20.0
34,131,15.0,41.61068702290076,84.0,1.0,5.816793893129771,26.0
35,110,14.0,29.37272727272727,61.0,1.0,2.2636363636363637,13.0
36,134,14.0,54.61940298507463,103.0,1.0,6.41044776119403,21.0
37,113,14.0,36.67256637168141,75.0,1.0,2.769911504424779,15.0
38,131,15.0,37.396946564885496,88.0,1.0,3.946564885496183,14.0
39,112,15.0,43.473214285714285,106.0,1.0,6.125,27.0
40,126,16.0,43.88095238095238,83.0,1.0,4.634920634920635,18.0
41,137,16.0,42.27007299270073,92.0,1.0,3.1605839416058394,12.0
