run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,73,15.0,20.28767123287671,34.0,1.0,1.4794520547945205,8.0
1,76,15.0,18.486842105263158,28.0,1.0,1.3289473684210527,5.0
2,87,14.0,27.2183908045977,65.0,1.0,2.9195402298850577,11.0
3,74,15.0,19.54054054054054,30.0,1.0,1.472972972972973,5.0
4,79,15.0,20.49367088607595,39.0,1.0,1.2658227848101267,3.0
5,57,14.0,18.403508771929825,26.0,1.0,1.1929824561403508,3.0
6,74,14.0,19.68918918918919,33.0,1.0,1.3783783783783783,5.0
7,75,14.0,20.946666666666665,40.0,1.0,1.52,5.0
8,68,14.0,18.83823529411765,28.0,1.0,1.3088235294117647,8.0
9,100,14.0,24.7,45.0,1.0,1.87,8.0
10,92,15.0,25.23913043478261,54.0,1.0,2.0,7.0
11,79,14.0,21.27848101265823,47.0,1.0,1.4177215189873418,4.0
12,58,13.0,18.517241379310345,30.0,1.0,1.206896551724138,5.0
13,86,14.0,21.209302325581394,50.0,1.0,1.4186046511627908,7.0
14,86,14.0,21.732558139534884,42.0,1.0,1.7674418604651163,9.0
15,70,14.0,18.52857142857143,29.0,1.0,1.1714285714285715,4.0
16,70,15.0,19.042857142857144,34.0,1.0,1.457142857142857,7.0
17,95,14.0,22.54736842105263,46.0,1.0,2.0,8.0
18,95,15.0,23.53684210526316,40.0,1.0,1.8421052631578947,9.0
19,85,15.0,20.470588235294116,40.0,1.0,1.188235294117647,3.0
20,88,14.0,25.238636363636363,57.0,1.0,2.215909090909091,9.0
21,85,15.0,20.36470588235294,39.0,1.0,1.588235294117647,9.0
22,84,15.0,24.214285714285715,50.0,1.0,1.7261904761904763,7.0
23,91,15.0,20.175824175824175,37.0,1.0,1.4615384615384615,5.0
24,106,14.0,23.90566037735849,50.0,1.0,2.1037735849056602,10.0
25,75,14.0,19.2,37.0,1.0,1.2266666666666666,4.0
26,87,14.0,20.873563218390803,36.0,1.0,1.6206896551724137,8.0
27,75,14.0,19.733333333333334,41.0,1.0,1.68,14.0
28,68,14.0,21.61764705882353,41.0,1.0,1.3823529411764706,3.0
29,81,14.0,19.567901234567902,36.0,1.0,1.4074074074074074,7.0
30,106,14.0,26.867924528301888,61.0,1.0,2.1792452830188678,7.0
31,78,14.0,21.141025641025642,45.0,1.0,1.4743589743589745,5.0
32,95,14.0,20.273684210526316,40.0,1.0,1.6526315789473685,9.0
33,81,14.0,21.765432098765434,48.0,1.0,1.9876543209876543,11.0
34,88,14.0,19.636363636363637,32.0,1.0,1.2840909090909092,3.0
35,75,15.0,20.4,36.0,1.0,1.8533333333333333,10.0
36,81,15.0,23.45679012345679,58.0,1.0,1.7901234567901234,12.0
37,91,14.0,20.681318681318682,41.0,1.0,1.6813186813186813,10.0
38,89,15.0,23.44943820224719,44.0,1.0,1.9101123595505618,7.0
39,76,15.0,24.32894736842105,53.0,1.0,2.6052631578947367,14.0
40,82,14.0,20.353658536585368,38.0,1.0,1.3048780487804879,6.0
41,89,15.0,21.53932584269663,33.0,1.0,1.550561797752809,5.0
