run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,50,13.0,16.9,23.0,1.0,1.02,2.0
1,53,14.0,17.528301886792452,24.0,1.0,1.0754716981132075,2.0
2,70,13.0,18.314285714285713,32.0,1.0,1.1571428571428573,4.0
3,57,14.0,17.385964912280702,25.0,1.0,1.0350877192982457,2.0
4,45,14.0,16.733333333333334,22.0,1.0,1.0222222222222221,2.0
5,54,13.0,16.25925925925926,23.0,1.0,1.0555555555555556,2.0
6,59,14.0,16.983050847457626,23.0,1.0,1.1016949152542372,4.0
7,60,14.0,17.183333333333334,23.0,1.0,1.0833333333333333,3.0
8,65,13.0,17.53846153846154,25.0,1.0,1.0769230769230769,2.0
9,55,13.0,16.236363636363638,21.0,1.0,1.0363636363636364,2.0
10,65,15.0,19.446153846153845,41.0,1.0,1.1384615384615384,3.0
11,67,13.0,16.865671641791046,23.0,1.0,1.0746268656716418,3.0
12,54,14.0,17.333333333333332,26.0,1.0,1.0740740740740742,3.0
13,48,14.0,17.208333333333332,24.0,1.0,1.0416666666666667,2.0
14,68,14.0,17.38235294117647,28.0,1.0,1.088235294117647,2.0
15,57,13.0,17.228070175438596,22.0,1.0,1.087719298245614,2.0
16,59,14.0,18.1864406779661,30.0,1.0,1.1016949152542372,2.0
17,60,13.0,17.15,31.0,1.0,1.1166666666666667,4.0
18,55,14.0,16.70909090909091,22.0,1.0,1.0363636363636364,2.0
19,59,13.0,17.305084745762713,26.0,1.0,1.1016949152542372,2.0
20,65,14.0,17.523076923076925,29.0,1.0,1.1538461538461537,4.0
21,55,14.0,17.036363636363635,24.0,1.0,1.1090909090909091,2.0
22,70,14.0,17.97142857142857,28.0,1.0,1.1571428571428573,2.0
23,55,14.0,16.98181818181818,22.0,1.0,1.018181818181818,2.0
24,55,14.0,17.09090909090909,26.0,1.0,1.0363636363636364,3.0
25,65,13.0,17.0,22.0,1.0,1.0923076923076922,2.0
26,58,13.0,16.93103448275862,23.0,1.0,1.0517241379310345,2.0
27,67,14.0,16.70149253731343,24.0,1.0,1.0746268656716418,3.0
28,72,14.0,18.416666666666668,33.0,1.0,1.1666666666666667,3.0
29,59,13.0,17.508474576271187,25.0,1.0,1.1016949152542372,2.0
30,52,13.0,16.75,24.0,1.0,1.0961538461538463,2.0
31,51,13.0,17.07843137254902,24.0,1.0,1.0196078431372548,2.0
32,53,13.0,16.471698113207548,23.0,1.0,1.0566037735849056,2.0
33,58,14.0,17.93103448275862,25.0,1.0,1.103448275862069,2.0
34,62,14.0,17.451612903225808,26.0,1.0,1.2258064516129032,3.0
35,72,13.0,17.72222222222222,30.0,1.0,1.1388888888888888,3.0
36,65,13.0,17.661538461538463,31.0,1.0,1.123076923076923,3.0
37,66,13.0,17.606060606060606,28.0,1.0,1.121212121212121,3.0
38,54,14.0,17.37037037037037,26.0,1.0,1.1296296296296295,3.0
39,69,14.0,17.652173913043477,26.0,1.0,1.1014492753623188,2.0
40,62,13.0,17.161290322580644,24.0,1.0,1.096774193548387,2.0
41,72,13.0,17.47222222222222,27.0,1.0,1.1944444444444444,4.0
