run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,162,14.0,32.864197530864196,79.0,1.0,1.882716049382716,7.0
1,163,14.0,36.40490797546012,77.0,1.0,2.374233128834356,8.0
2,174,14.0,27.350574712643677,52.0,1.0,1.5114942528735633,6.0
3,155,14.0,27.72258064516129,57.0,1.0,2.193548387096774,10.0
4,156,14.0,32.044871794871796,75.0,1.0,1.4487179487179487,5.0
5,151,14.0,27.662251655629138,62.0,1.0,1.423841059602649,4.0
6,146,14.0,33.24657534246575,80.0,1.0,2.1986301369863015,8.0
7,165,15.0,35.6,72.0,1.0,1.6606060606060606,5.0
8,132,14.0,27.90909090909091,59.0,1.0,1.643939393939394,6.0
9,161,13.0,28.714285714285715,59.0,1.0,1.5838509316770186,6.0
10,166,16.0,42.24096385542169,94.0,1.0,3.0602409638554215,10.0
11,168,15.0,36.589285714285715,79.0,1.0,2.386904761904762,9.0
12,158,14.0,27.240506329113924,54.0,1.0,1.4873417721518987,4.0
13,168,14.0,33.392857142857146,66.0,1.0,1.5119047619047619,6.0
14,157,13.0,26.751592356687897,70.0,1.0,1.5095541401273886,6.0
15,135,14.0,25.474074074074075,58.0,1.0,1.4148148148148147,4.0
16,167,14.0,29.149700598802394,72.0,1.0,1.9341317365269461,8.0
17,160,13.0,31.2375,59.0,1.0,1.44375,4.0
18,154,15.0,46.564935064935064,77.0,1.0,2.824675324675325,13.0
19,159,13.0,42.76729559748428,73.0,1.0,1.9811320754716981,7.0
20,140,14.0,26.185714285714287,57.0,1.0,1.457142857142857,5.0
21,150,13.0,30.34,79.0,1.0,2.4466666666666668,9.0
22,162,15.0,45.111111111111114,69.0,1.0,1.8333333333333333,8.0
23,170,14.0,29.576470588235296,59.0,1.0,2.0176470588235293,11.0
24,152,14.0,25.38157894736842,55.0,1.0,1.743421052631579,8.0
25,144,16.0,39.576388888888886,75.0,1.0,2.4027777777777777,9.0
26,151,15.0,28.880794701986755,67.0,1.0,1.9271523178807948,9.0
27,166,14.0,31.674698795180724,66.0,1.0,1.8012048192771084,8.0
28,150,14.0,41.12,70.0,1.0,1.4133333333333333,4.0
29,172,15.0,39.18023255813954,71.0,1.0,1.947674418604651,9.0
30,140,13.0,30.614285714285714,68.0,1.0,1.5142857142857142,5.0
31,162,15.0,41.24074074074074,79.0,1.0,2.4012345679012346,9.0
32,149,15.0,35.23489932885906,68.0,1.0,1.7114093959731544,6.0
33,159,14.0,26.40880503144654,60.0,1.0,1.3081761006289307,3.0
34,156,14.0,31.78846153846154,66.0,1.0,1.5512820512820513,6.0
35,159,14.0,38.471698113207545,73.0,1.0,1.528301886792453,4.0
36,141,13.0,24.836879432624112,55.0,1.0,1.553191489361702,5.0
37,164,14.0,30.51829268292683,69.0,1.0,1.7621951219512195,6.0
38,145,14.0,29.8,66.0,1.0,1.4620689655172414,5.0
39,154,15.0,36.12337662337662,70.0,1.0,1.5974025974025974,5.0
40,171,15.0,28.912280701754387,69.0,1.0,1.3859649122807018,3.0
41,153,15.0,30.54248366013072,65.0,1.0,1.4248366013071896,5.0
