run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,112,13.0,20.526785714285715,39.0,1.0,1.1607142857142858,3.0
1,109,14.0,21.10091743119266,48.0,1.0,1.2935779816513762,5.0
2,129,15.0,20.73643410852713,36.0,1.0,1.4031007751937985,5.0
3,102,14.0,19.284313725490197,37.0,1.0,1.2352941176470589,4.0
4,119,13.0,20.596638655462186,42.0,1.0,1.3109243697478992,4.0
5,118,13.0,21.194915254237287,42.0,1.0,1.4152542372881356,4.0
6,103,14.0,19.87378640776699,40.0,1.0,1.2427184466019416,5.0
7,120,14.0,19.883333333333333,45.0,1.0,1.3333333333333333,6.0
8,125,13.0,21.224,37.0,1.0,1.504,5.0
9,111,13.0,23.0990990990991,54.0,1.0,1.4414414414414414,5.0
10,98,14.0,19.448979591836736,35.0,1.0,1.2755102040816326,4.0
11,103,13.0,18.54368932038835,32.0,1.0,1.2427184466019416,4.0
12,122,14.0,19.90983606557377,32.0,1.0,1.2868852459016393,3.0
13,78,14.0,18.807692307692307,29.0,1.0,1.2692307692307692,4.0
14,99,14.0,19.333333333333332,34.0,1.0,1.2323232323232323,5.0
15,125,14.0,22.912,49.0,1.0,1.28,4.0
16,111,14.0,19.07207207207207,34.0,1.0,1.3243243243243243,6.0
17,132,14.0,22.765151515151516,43.0,1.0,1.4166666666666667,5.0
18,121,14.0,21.39669421487603,41.0,1.0,1.5289256198347108,5.0
19,124,13.0,20.733870967741936,47.0,1.0,1.3548387096774193,5.0
20,124,13.0,22.338709677419356,46.0,1.0,1.4516129032258065,5.0
21,128,13.0,20.4296875,38.0,1.0,1.4453125,6.0
22,118,14.0,20.54237288135593,38.0,1.0,1.2627118644067796,7.0
23,96,14.0,18.78125,32.0,1.0,1.1770833333333333,3.0
24,124,14.0,21.846774193548388,38.0,1.0,1.467741935483871,7.0
25,103,14.0,19.07766990291262,33.0,1.0,1.203883495145631,3.0
26,101,13.0,21.792079207920793,42.0,1.0,1.2871287128712872,4.0
27,117,14.0,20.58974358974359,43.0,1.0,1.205128205128205,4.0
28,116,14.0,19.663793103448278,33.0,1.0,1.4310344827586208,6.0
29,114,13.0,19.280701754385966,34.0,1.0,1.368421052631579,5.0
30,114,14.0,21.56140350877193,40.0,1.0,1.5614035087719298,6.0
31,132,14.0,25.863636363636363,66.0,1.0,2.037878787878788,8.0
32,113,14.0,19.035398230088497,28.0,1.0,1.3097345132743363,4.0
33,107,14.0,19.429906542056074,33.0,1.0,1.355140186915888,5.0
34,104,13.0,19.39423076923077,39.0,1.0,1.2307692307692308,4.0
35,83,13.0,18.40963855421687,29.0,1.0,1.3012048192771084,7.0
36,124,13.0,20.427419354838708,36.0,1.0,1.1774193548387097,4.0
37,121,13.0,21.239669421487605,43.0,1.0,1.6611570247933884,6.0
38,114,14.0,19.63157894736842,30.0,1.0,1.4210526315789473,6.0
39,124,15.0,22.806451612903224,49.0,1.0,1.4758064516129032,6.0
40,105,14.0,19.81904761904762,39.0,1.0,1.2285714285714286,4.0
41,102,14.0,19.754901960784313,42.0,1.0,1.3333333333333333,4.0
