run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,145,14.0,30.427586206896553,69.0,1.0,1.4896551724137932,4.0
1,93,14.0,24.666666666666668,51.0,1.0,1.4086021505376345,4.0
2,75,14.0,25.92,53.0,1.0,1.2133333333333334,3.0
3,143,13.0,23.566433566433567,43.0,1.0,1.3006993006993006,4.0
4,97,15.0,32.391752577319586,65.0,1.0,1.556701030927835,4.0
5,140,14.0,24.135714285714286,53.0,1.0,1.25,3.0
6,99,14.0,28.737373737373737,72.0,1.0,1.393939393939394,5.0
7,126,14.0,22.706349206349206,51.0,1.0,1.4682539682539681,6.0
8,124,14.0,22.766129032258064,44.0,1.0,1.6290322580645162,8.0
9,138,15.0,26.297101449275363,48.0,1.0,1.4710144927536233,6.0
10,135,14.0,23.51851851851852,49.0,1.0,1.4444444444444444,5.0
11,95,14.0,18.789473684210527,34.0,1.0,1.1473684210526316,3.0
12,84,14.0,20.44047619047619,38.0,1.0,1.2023809523809523,5.0
13,90,14.0,21.333333333333332,45.0,1.0,1.1777777777777778,3.0
14,132,13.0,22.651515151515152,57.0,1.0,1.393939393939394,4.0
15,136,14.0,27.397058823529413,49.0,1.0,1.786764705882353,8.0
16,125,14.0,21.44,41.0,1.0,1.464,5.0
17,132,14.0,25.71212121212121,66.0,1.0,1.4393939393939394,4.0
18,115,14.0,20.704347826086956,42.0,1.0,1.4521739130434783,5.0
19,91,15.0,22.35164835164835,48.0,1.0,1.3956043956043955,4.0
20,87,14.0,22.091954022988507,44.0,1.0,1.1264367816091954,2.0
21,97,14.0,32.21649484536083,63.0,1.0,1.4742268041237114,5.0
22,128,14.0,20.3984375,34.0,1.0,1.2890625,3.0
23,88,15.0,28.079545454545453,64.0,1.0,1.4772727272727273,4.0
24,112,14.0,21.232142857142858,41.0,1.0,1.2678571428571428,4.0
25,84,13.0,19.666666666666668,32.0,1.0,1.1785714285714286,3.0
26,138,13.0,22.55072463768116,39.0,1.0,1.681159420289855,8.0
27,89,15.0,20.707865168539325,43.0,1.0,1.3595505617977528,5.0
28,126,14.0,24.849206349206348,64.0,1.0,1.3333333333333333,4.0
29,84,14.0,20.797619047619047,44.0,1.0,1.2619047619047619,3.0
30,134,14.0,26.52238805970149,50.0,1.0,1.8134328358208955,7.0
31,91,14.0,23.0989010989011,55.0,1.0,1.3626373626373627,4.0
32,130,14.0,24.807692307692307,62.0,1.0,1.476923076923077,6.0
33,72,14.0,21.36111111111111,42.0,1.0,1.3194444444444444,3.0
34,91,13.0,23.285714285714285,57.0,1.0,1.2527472527472527,4.0
35,78,14.0,19.03846153846154,40.0,1.0,1.1794871794871795,3.0
36,125,14.0,25.096,64.0,1.0,1.328,4.0
37,86,13.0,28.77906976744186,60.0,1.0,1.313953488372093,4.0
38,127,14.0,31.086614173228348,73.0,1.0,1.4173228346456692,4.0
39,105,15.0,18.8,33.0,1.0,1.2285714285714286,4.0
40,131,13.0,27.12213740458015,70.0,1.0,1.7633587786259541,9.0
41,86,13.0,21.930232558139537,37.0,1.0,1.2790697674418605,3.0
