run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,85,14.0,20.470588235294116,45.0,1.0,1.1764705882352942,2.0
1,77,14.0,18.87012987012987,35.0,1.0,1.1688311688311688,3.0
2,74,14.0,17.18918918918919,26.0,1.0,1.0675675675675675,3.0
3,90,13.0,19.0,29.0,1.0,1.1888888888888889,4.0
4,93,14.0,19.451612903225808,38.0,1.0,1.1290322580645162,3.0
5,99,14.0,23.03030303030303,60.0,1.0,1.2323232323232323,3.0
6,79,13.0,17.72151898734177,28.0,1.0,1.0886075949367089,2.0
7,87,13.0,19.563218390804597,35.0,1.0,1.1379310344827587,3.0
8,76,13.0,18.973684210526315,32.0,1.0,1.0921052631578947,3.0
9,89,14.0,21.730337078651687,39.0,1.0,1.3258426966292134,4.0
10,96,13.0,19.270833333333332,33.0,1.0,1.21875,3.0
11,89,14.0,18.685393258426966,33.0,1.0,1.1910112359550562,4.0
12,95,14.0,19.221052631578946,35.0,1.0,1.3578947368421053,5.0
13,84,14.0,20.404761904761905,40.0,1.0,1.2976190476190477,3.0
14,72,14.0,17.625,34.0,1.0,1.0694444444444444,2.0
15,79,14.0,17.848101265822784,30.0,1.0,1.0886075949367089,2.0
16,87,13.0,17.7816091954023,26.0,1.0,1.2298850574712643,4.0
17,78,13.0,18.128205128205128,33.0,1.0,1.1282051282051282,3.0
18,96,14.0,20.229166666666668,44.0,1.0,1.375,6.0
19,90,14.0,19.933333333333334,44.0,1.0,1.2333333333333334,4.0
20,82,14.0,18.121951219512194,31.0,1.0,1.0609756097560976,3.0
21,86,14.0,17.488372093023255,27.0,1.0,1.1395348837209303,3.0
22,77,13.0,18.25974025974026,30.0,1.0,1.1428571428571428,3.0
23,81,13.0,18.666666666666668,31.0,1.0,1.1728395061728396,3.0
24,87,13.0,20.298850574712645,39.0,1.0,1.2298850574712643,3.0
25,109,14.0,20.605504587155963,41.0,1.0,1.1376146788990826,3.0
26,101,14.0,21.02970297029703,42.0,1.0,1.198019801980198,4.0
27,87,14.0,18.82758620689655,32.0,1.0,1.2988505747126438,3.0
28,79,14.0,17.59493670886076,25.0,1.0,1.1012658227848102,3.0
29,63,14.0,17.682539682539684,27.0,1.0,1.0952380952380953,2.0
30,76,14.0,18.776315789473685,27.0,1.0,1.1842105263157894,3.0
31,89,14.0,19.415730337078653,34.0,1.0,1.2134831460674158,3.0
32,93,14.0,20.13978494623656,36.0,1.0,1.3870967741935485,5.0
33,90,14.0,19.18888888888889,36.0,1.0,1.1666666666666667,4.0
34,82,13.0,17.951219512195124,30.0,1.0,1.0731707317073171,2.0
35,102,13.0,21.774509803921568,51.0,1.0,1.3725490196078431,4.0
36,87,13.0,19.885057471264368,38.0,1.0,1.206896551724138,4.0
37,75,13.0,17.2,26.0,1.0,1.08,3.0
38,90,14.0,18.255555555555556,29.0,1.0,1.2222222222222223,4.0
39,86,13.0,18.453488372093023,38.0,1.0,1.186046511627907,3.0
40,92,14.0,18.48913043478261,31.0,1.0,1.1195652173913044,3.0
41,85,14.0,20.8,39.0,1.0,1.223529411764706,4.0
