run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,88,11.0,87.6590909090909,189.0,0.0,67.26136363636364,164.0
1,95,11.0,101.2,211.0,0.0,79.53684210526316,180.0
2,96,10.0,92.84375,208.0,0.0,71.52083333333333,182.0
3,85,11.0,95.37647058823529,211.0,0.0,73.67058823529412,179.0
4,92,10.0,99.45652173913044,212.0,0.0,77.8695652173913,182.0
5,97,10.0,80.30927835051547,182.0,0.0,59.65979381443299,157.0
6,84,10.0,95.64285714285714,207.0,0.0,74.52380952380952,181.0
7,91,11.0,95.63736263736264,212.0,0.0,73.54945054945055,181.0
8,102,10.0,76.91176470588235,209.0,0.0,57.254901960784316,181.0
9,92,10.0,84.41304347826087,186.0,0.0,63.80434782608695,160.0
10,81,11.0,91.72839506172839,213.0,0.0,71.0,183.0
11,94,11.0,95.29787234042553,208.0,0.0,73.86170212765957,178.0
12,97,13.0,93.3917525773196,212.0,0.0,72.4020618556701,183.0
13,99,11.0,83.42424242424242,206.0,0.0,62.81818181818182,180.0
14,81,10.0,95.11111111111111,208.0,0.0,74.1604938271605,181.0
15,101,10.0,81.0,158.0,0.0,61.05940594059406,135.0
16,88,10.0,86.32954545454545,212.0,0.0,65.80681818181819,180.0
17,96,10.0,92.86458333333333,208.0,0.0,71.9375,177.0
18,87,10.0,84.88505747126437,206.0,0.0,64.71264367816092,181.0
19,90,12.0,90.13333333333334,210.0,0.0,69.06666666666666,181.0
20,97,11.0,103.91752577319588,210.0,0.0,81.83505154639175,179.0
21,96,15.0,89.5,178.0,0.0,68.82291666666667,152.0
22,81,10.0,92.92592592592592,213.0,0.0,72.18518518518519,183.0
23,89,12.0,94.93258426966293,211.0,0.0,73.53932584269663,184.0
24,102,15.0,90.6470588235294,203.0,0.0,69.68627450980392,177.0
25,95,19.0,85.0421052631579,178.0,0.0,64.51578947368421,152.0
26,86,12.0,80.16279069767442,188.0,0.0,60.16279069767442,163.0
27,87,11.0,97.77011494252874,212.0,0.0,76.42528735632185,184.0
28,84,12.0,99.38095238095238,210.0,0.0,77.89285714285714,181.0
29,91,10.0,96.75824175824175,166.0,0.0,75.41758241758242,141.0
30,86,14.0,101.22093023255815,209.0,0.0,79.69767441860465,182.0
31,89,11.0,95.88764044943821,208.0,0.0,74.33707865168539,181.0
32,81,15.0,96.09876543209876,208.0,0.0,74.35802469135803,184.0
33,100,12.0,100.93,211.0,0.0,79.32,181.0
34,90,10.0,93.74444444444444,208.0,0.0,72.43333333333334,180.0
35,92,11.0,102.84782608695652,208.0,0.0,81.3586956521739,178.0
36,93,10.0,86.0752688172043,187.0,0.0,65.82795698924731,162.0
37,79,10.0,86.84810126582279,191.0,0.0,66.13924050632912,163.0
38,96,12.0,101.80208333333333,213.0,0.0,79.1875,181.0
39,92,11.0,94.41304347826087,191.0,0.0,73.15217391304348,167.0
40,85,10.0,97.54117647058824,210.0,0.0,75.76470588235294,182.0
41,103,11.0,90.84466019417475,207.0,0.0,69.71844660194175,179.0
