run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,87,10.0,79.59770114942529,206.0,0.0,59.735632183908045,179.0
1,76,10.0,84.40789473684211,213.0,0.0,64.77631578947368,183.0
2,75,18.0,82.42666666666666,167.0,1.0,62.48,142.0
3,72,13.0,67.84722222222223,151.0,0.0,49.22222222222222,125.0
4,95,10.0,91.50526315789473,207.0,0.0,70.96842105263158,181.0
5,76,10.0,75.85526315789474,179.0,0.0,57.69736842105263,153.0
6,91,10.0,76.45054945054945,153.0,0.0,57.07692307692308,129.0
7,88,10.0,87.67045454545455,212.0,0.0,67.625,182.0
8,72,10.0,90.375,209.0,0.0,69.77777777777777,180.0
9,73,11.0,89.06849315068493,209.0,0.0,68.83561643835617,179.0
10,71,11.0,84.36619718309859,209.0,0.0,65.11267605633803,180.0
11,94,11.0,83.87234042553192,170.0,0.0,63.776595744680854,144.0
12,94,10.0,79.91489361702128,198.0,0.0,60.648936170212764,174.0
13,91,10.0,80.26373626373626,161.0,0.0,60.362637362637365,137.0
14,89,13.0,82.89887640449439,213.0,0.0,62.60674157303371,183.0
15,87,10.0,93.52873563218391,204.0,0.0,73.29885057471265,178.0
16,73,10.0,68.16438356164383,160.0,0.0,49.465753424657535,136.0
17,87,10.0,85.52873563218391,210.0,0.0,65.40229885057471,181.0
18,97,12.0,86.57731958762886,207.0,0.0,66.45360824742268,178.0
19,94,10.0,87.46808510638297,192.0,0.0,66.92553191489361,168.0
20,95,11.0,74.56842105263158,161.0,0.0,55.03157894736842,137.0
21,80,9.0,76.1,211.0,0.0,57.2375,182.0
22,86,9.0,87.86046511627907,210.0,0.0,68.22093023255815,181.0
23,93,12.0,88.25806451612904,184.0,0.0,67.66666666666667,157.0
24,92,11.0,84.17391304347827,208.0,0.0,64.20652173913044,183.0
25,70,10.0,84.27142857142857,210.0,0.0,64.02857142857142,180.0
26,69,12.0,94.84057971014492,194.0,0.0,73.82608695652173,169.0
27,70,12.0,81.4,184.0,0.0,62.07142857142857,159.0
28,80,13.0,79.35,177.0,0.0,59.5,154.0
29,73,9.0,78.94520547945206,183.0,0.0,59.0958904109589,155.0
30,71,12.0,72.63380281690141,172.0,0.0,53.84507042253521,147.0
31,97,12.0,89.69072164948453,209.0,0.0,68.35051546391753,179.0
32,78,11.0,87.41025641025641,181.0,0.0,67.26923076923077,155.0
33,99,12.0,89.37373737373737,181.0,0.0,68.29292929292929,153.0
34,90,11.0,81.37777777777778,173.0,0.0,61.388888888888886,145.0
35,74,10.0,98.02702702702703,213.0,0.0,77.1891891891892,183.0
36,91,10.0,99.7032967032967,211.0,0.0,78.43956043956044,181.0
37,91,11.0,78.27472527472527,159.0,0.0,58.48351648351648,132.0
38,93,10.0,72.94623655913979,185.0,0.0,53.45161290322581,159.0
39,93,12.0,96.17204301075269,185.0,0.0,74.91397849462365,163.0
40,77,11.0,88.92207792207792,209.0,0.0,68.50649350649351,180.0
41,93,12.0,98.13978494623656,210.0,0.0,76.39784946236558,178.0
