run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,72,12.0,78.95833333333333,183.0,0.0,59.81944444444444,159.0
1,45,10.0,51.86666666666667,107.0,0.0,36.53333333333333,91.0
2,72,12.0,75.875,150.0,0.0,57.06944444444444,126.0
3,61,12.0,82.95081967213115,144.0,0.0,63.63934426229508,119.0
4,66,10.0,56.878787878787875,128.0,0.0,39.803030303030305,100.0
5,63,12.0,81.41269841269842,210.0,0.0,61.492063492063494,180.0
6,59,10.0,72.22033898305085,195.0,0.0,53.08474576271186,170.0
7,59,10.0,59.52542372881356,134.0,0.0,42.13559322033898,111.0
8,71,10.0,79.16901408450704,167.0,0.0,59.690140845070424,146.0
9,62,10.0,56.725806451612904,112.0,0.0,39.806451612903224,92.0
10,65,10.0,63.47692307692308,113.0,0.0,46.87692307692308,94.0
11,81,10.0,69.17283950617283,201.0,0.0,50.50617283950617,175.0
12,59,9.0,70.2542372881356,143.0,0.0,52.32203389830509,118.0
13,70,11.0,60.98571428571429,139.0,0.0,44.22857142857143,112.0
14,75,10.0,65.96,159.0,0.0,47.946666666666665,133.0
15,67,10.0,76.25373134328358,207.0,0.0,57.507462686567166,182.0
16,68,10.0,58.13235294117647,143.0,0.0,40.85294117647059,117.0
17,76,10.0,70.03947368421052,170.0,0.0,51.61842105263158,143.0
18,71,10.0,71.05633802816901,186.0,0.0,52.66197183098591,163.0
19,71,11.0,53.70422535211268,106.0,0.0,36.42253521126761,91.0
20,65,11.0,59.707692307692305,109.0,0.0,42.43076923076923,91.0
21,71,12.0,63.563380281690144,109.0,0.0,45.985915492957744,93.0
22,75,10.0,67.05333333333333,152.0,0.0,49.4,126.0
23,72,10.0,71.19444444444444,166.0,0.0,52.65277777777778,143.0
24,73,9.0,58.15068493150685,145.0,0.0,39.945205479452056,120.0
25,71,9.0,62.67605633802817,117.0,0.0,45.29577464788732,92.0
26,73,11.0,62.602739726027394,132.0,0.0,45.02739726027397,107.0
27,65,12.0,88.35384615384615,204.0,0.0,67.61538461538461,179.0
28,70,10.0,64.32857142857142,173.0,0.0,45.98571428571429,146.0
29,63,11.0,66.15873015873017,161.0,0.0,48.0,135.0
30,75,10.0,59.45333333333333,122.0,0.0,42.21333333333333,97.0
31,80,11.0,66.3,170.0,0.0,47.6125,146.0
32,72,12.0,62.77777777777778,131.0,0.0,45.111111111111114,107.0
33,59,10.0,61.59322033898305,127.0,0.0,43.86440677966102,103.0
34,73,10.0,60.054794520547944,158.0,0.0,42.6986301369863,132.0
35,65,10.0,63.53846153846154,153.0,0.0,45.36923076923077,130.0
36,64,10.0,65.8125,125.0,0.0,48.515625,102.0
37,67,11.0,61.91044776119403,141.0,0.0,43.46268656716418,115.0
38,74,9.0,76.06756756756756,179.0,0.0,58.32432432432432,157.0
39,72,11.0,72.51388888888889,187.0,0.0,53.861111111111114,160.0
40,66,10.0,66.87878787878788,133.0,0.0,50.015151515151516,107.0
41,51,10.0,57.64705882352941,138.0,0.0,40.90196078431372,114.0
