run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,57,8.0,41.07017543859649,97.0,0.0,27.31578947368421,83.0
1,52,8.0,45.69230769230769,96.0,0.0,31.903846153846153,81.0
2,54,8.0,39.51851851851852,96.0,0.0,25.88888888888889,82.0
3,69,8.0,45.46376811594203,95.0,0.0,31.057971014492754,82.0
4,65,8.0,35.55384615384615,91.0,0.0,22.676923076923078,76.0
5,59,8.0,47.42372881355932,96.0,0.0,33.186440677966104,83.0
6,41,8.0,42.829268292682926,87.0,0.0,28.634146341463413,72.0
7,54,8.0,43.851851851851855,98.0,0.0,30.037037037037038,81.0
8,52,8.0,42.53846153846154,96.0,0.0,28.865384615384617,81.0
9,53,8.0,37.509433962264154,90.0,0.0,23.71698113207547,76.0
10,64,8.0,45.96875,97.0,0.0,31.609375,80.0
11,44,8.0,42.61363636363637,97.0,0.0,29.15909090909091,83.0
12,49,9.0,42.48979591836735,93.0,0.0,28.510204081632654,79.0
13,50,8.0,44.3,95.0,0.0,29.98,82.0
14,56,8.0,39.75,92.0,0.0,26.053571428571427,79.0
15,47,8.0,38.276595744680854,97.0,0.0,25.02127659574468,82.0
16,50,8.0,46.92,95.0,0.0,32.92,81.0
17,39,8.0,38.02564102564103,90.0,0.0,24.564102564102566,76.0
18,53,8.0,35.79245283018868,94.0,0.0,22.754716981132077,79.0
19,58,8.0,45.206896551724135,94.0,0.0,31.086206896551722,80.0
20,60,8.0,40.416666666666664,98.0,0.0,26.65,81.0
21,50,8.0,43.22,96.0,0.0,29.5,81.0
22,44,7.0,44.97727272727273,98.0,0.0,31.34090909090909,81.0
23,59,8.0,41.74576271186441,96.0,0.0,27.64406779661017,82.0
24,59,8.0,42.03389830508475,97.0,0.0,28.271186440677965,82.0
25,53,8.0,42.56603773584906,98.0,0.0,29.169811320754718,83.0
26,57,8.0,44.31578947368421,95.0,0.0,29.87719298245614,81.0
27,53,8.0,44.132075471698116,97.0,0.0,30.037735849056602,83.0
28,51,7.0,40.568627450980394,92.0,0.0,27.176470588235293,78.0
29,61,8.0,42.704918032786885,94.0,0.0,28.540983606557376,80.0
30,66,7.0,41.34848484848485,95.0,0.0,27.12121212121212,80.0
31,43,8.0,46.348837209302324,92.0,0.0,32.7906976744186,77.0
32,46,7.0,38.891304347826086,91.0,0.0,25.217391304347824,76.0
33,66,8.0,49.333333333333336,96.0,0.0,35.22727272727273,82.0
34,47,7.0,39.765957446808514,93.0,0.0,26.97872340425532,76.0
35,52,8.0,46.86538461538461,96.0,0.0,32.92307692307692,82.0
36,50,8.0,45.04,92.0,0.0,30.42,78.0
37,50,8.0,45.36,93.0,0.0,31.9,79.0
38,64,8.0,42.546875,95.0,0.0,28.078125,81.0
39,56,8.0,43.80357142857143,96.0,0.0,29.821428571428573,82.0
40,49,8.0,44.142857142857146,95.0,0.0,29.387755102040817,80.0
41,52,8.0,57.71153846153846,95.0,0.0,43.13461538461539,79.0
