run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,138,7.0,50.7536231884058,98.0,0.0,36.55072463768116,82.0
1,124,8.0,56.41129032258065,100.0,0.0,40.70967741935484,84.0
2,143,7.0,52.94405594405595,98.0,0.0,38.03496503496503,83.0
3,128,8.0,54.3125,101.0,0.0,38.8515625,84.0
4,155,8.0,59.729032258064514,100.0,0.0,43.6258064516129,83.0
5,119,9.0,54.05882352941177,96.0,0.0,38.76470588235294,83.0
6,127,8.0,59.61417322834646,100.0,0.0,43.62204724409449,84.0
7,140,8.0,47.15,100.0,0.0,31.821428571428573,81.0
8,111,8.0,54.189189189189186,100.0,0.0,39.108108108108105,83.0
9,121,8.0,47.33884297520661,99.0,0.0,32.81818181818182,82.0
10,135,8.0,47.74814814814815,99.0,0.0,32.39259259259259,84.0
11,139,7.0,49.05035971223022,98.0,0.0,34.014388489208635,82.0
12,132,8.0,58.333333333333336,100.0,0.0,42.916666666666664,83.0
13,125,8.0,53.584,99.0,0.0,38.552,83.0
14,155,8.0,61.019354838709674,101.0,0.0,45.019354838709674,82.0
15,111,8.0,52.62162162162162,99.0,0.0,37.6036036036036,82.0
16,137,8.0,51.33576642335766,100.0,0.0,36.08029197080292,82.0
17,133,8.0,50.50375939849624,99.0,0.0,35.285714285714285,82.0
18,126,7.0,57.507936507936506,100.0,0.0,41.785714285714285,83.0
19,126,7.0,49.29365079365079,99.0,0.0,34.357142857142854,83.0
20,127,8.0,46.874015748031496,99.0,0.0,31.811023622047244,82.0
21,111,7.0,60.03603603603604,100.0,0.0,44.189189189189186,82.0
22,130,8.0,57.48461538461538,99.0,0.0,42.2,82.0
23,126,8.0,55.15079365079365,100.0,0.0,39.69047619047619,84.0
24,150,8.0,56.22666666666667,100.0,0.0,40.526666666666664,83.0
25,149,7.0,54.718120805369125,98.0,0.0,39.355704697986575,83.0
26,139,8.0,53.41726618705036,100.0,0.0,37.86330935251799,83.0
27,130,8.0,49.45384615384615,99.0,0.0,34.323076923076925,83.0
28,147,7.0,50.78231292517007,99.0,0.0,35.63265306122449,82.0
29,149,8.0,53.241610738255034,100.0,0.0,37.66442953020134,84.0
30,127,8.0,48.98425196850393,100.0,0.0,34.01574803149607,84.0
31,142,8.0,50.232394366197184,99.0,0.0,35.021126760563384,84.0
32,152,7.0,53.80921052631579,102.0,0.0,38.13157894736842,82.0
33,123,8.0,58.08130081300813,99.0,0.0,42.54471544715447,84.0
34,127,8.0,52.338582677165356,101.0,0.0,36.79527559055118,84.0
35,141,7.0,54.47517730496454,99.0,0.0,39.53900709219858,83.0
36,125,8.0,51.984,99.0,0.0,36.76,83.0
37,136,8.0,48.30882352941177,98.0,0.0,33.1985294117647,81.0
38,148,8.0,50.37837837837838,98.0,0.0,35.067567567567565,81.0
39,122,7.0,52.459016393442624,101.0,0.0,37.58196721311475,83.0
40,130,8.0,47.19230769230769,99.0,0.0,32.54615384615385,82.0
41,140,8.0,50.16428571428571,100.0,0.0,35.364285714285714,83.0
