run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,90,8.0,41.96666666666667,93.0,0.0,27.72222222222222,78.0
1,111,8.0,46.47747747747748,97.0,0.0,31.765765765765767,81.0
2,98,8.0,45.326530612244895,97.0,0.0,30.846938775510203,81.0
3,92,8.0,44.369565217391305,96.0,0.0,30.25,82.0
4,91,7.0,48.142857142857146,95.0,0.0,33.73626373626374,82.0
5,112,8.0,43.205357142857146,94.0,0.0,28.366071428571427,80.0
6,103,7.0,46.55339805825243,100.0,0.0,31.9126213592233,83.0
7,101,8.0,46.35643564356435,98.0,0.0,31.91089108910891,84.0
8,113,8.0,45.849557522123895,96.0,0.0,30.778761061946902,81.0
9,95,7.0,47.90526315789474,98.0,0.0,33.589473684210525,84.0
10,98,8.0,43.0,97.0,0.0,28.306122448979593,82.0
11,90,8.0,42.77777777777778,99.0,0.0,28.166666666666668,84.0
12,101,8.0,49.851485148514854,96.0,0.0,35.17821782178218,83.0
13,91,8.0,44.27472527472528,97.0,0.0,29.63736263736264,81.0
14,80,7.0,39.95,96.0,0.0,26.3625,82.0
15,102,8.0,46.28431372549019,97.0,0.0,31.245098039215687,83.0
16,84,7.0,44.86904761904762,93.0,0.0,30.988095238095237,78.0
17,99,7.0,46.25252525252525,97.0,0.0,31.858585858585858,83.0
18,104,8.0,50.46153846153846,97.0,0.0,35.125,82.0
19,117,8.0,44.24786324786325,98.0,0.0,29.23931623931624,83.0
20,107,8.0,46.99065420560748,96.0,0.0,32.32710280373832,80.0
21,86,7.0,48.75581395348837,96.0,0.0,34.30232558139535,81.0
22,94,8.0,47.297872340425535,95.0,0.0,32.659574468085104,80.0
23,101,8.0,47.82178217821782,96.0,0.0,33.366336633663366,81.0
24,106,7.0,54.839622641509436,98.0,0.0,39.89622641509434,82.0
25,99,7.0,48.16161616161616,97.0,0.0,33.42424242424242,84.0
26,105,8.0,46.87619047619047,98.0,0.0,32.39047619047619,83.0
27,106,8.0,48.14150943396226,97.0,0.0,33.75471698113208,82.0
28,100,8.0,43.95,98.0,0.0,29.94,82.0
29,108,8.0,50.333333333333336,100.0,0.0,35.28703703703704,83.0
30,102,7.0,50.8921568627451,96.0,0.0,36.03921568627451,82.0
31,102,8.0,40.23529411764706,96.0,0.0,25.872549019607842,81.0
32,110,8.0,44.127272727272725,94.0,0.0,29.5,81.0
33,93,8.0,44.903225806451616,92.0,0.0,30.268817204301076,77.0
34,82,8.0,47.80487804878049,97.0,0.0,32.90243902439025,83.0
35,95,8.0,43.136842105263156,98.0,0.0,29.178947368421053,83.0
36,102,7.0,47.30392156862745,97.0,0.0,32.55882352941177,80.0
37,99,8.0,46.64646464646464,95.0,0.0,31.88888888888889,83.0
38,104,9.0,50.69230769230769,97.0,0.0,35.42307692307692,83.0
39,99,8.0,49.44444444444444,97.0,0.0,34.98989898989899,81.0
40,102,8.0,48.450980392156865,97.0,0.0,33.21568627450981,81.0
41,107,7.0,48.691588785046726,97.0,0.0,33.757009345794394,82.0
