run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,75,8.0,38.22666666666667,95.0,0.0,24.52,82.0
1,81,8.0,46.45679012345679,95.0,0.0,31.839506172839506,81.0
2,77,8.0,46.8051948051948,96.0,0.0,32.142857142857146,82.0
3,84,8.0,47.57142857142857,96.0,0.0,32.392857142857146,82.0
4,78,8.0,38.717948717948715,97.0,0.0,24.987179487179485,82.0
5,60,8.0,37.95,96.0,0.0,24.833333333333332,81.0
6,82,8.0,45.71951219512195,98.0,0.0,31.829268292682926,82.0
7,81,8.0,49.45679012345679,93.0,0.0,34.82716049382716,79.0
8,70,8.0,38.871428571428574,95.0,0.0,24.771428571428572,81.0
9,77,8.0,43.84415584415584,98.0,0.0,29.818181818181817,82.0
10,67,8.0,49.134328358208954,96.0,0.0,34.47761194029851,81.0
11,79,7.0,44.9746835443038,96.0,0.0,30.20253164556962,80.0
12,74,8.0,46.567567567567565,96.0,0.0,32.2027027027027,81.0
13,69,8.0,42.507246376811594,95.0,0.0,28.405797101449274,80.0
14,81,7.0,46.074074074074076,99.0,0.0,31.395061728395063,82.0
15,80,7.0,49.0,97.0,0.0,34.175,82.0
16,80,8.0,37.9625,96.0,0.0,24.1,81.0
17,64,8.0,47.0,98.0,0.0,32.4375,81.0
18,93,9.0,47.98924731182796,96.0,0.0,32.56989247311828,82.0
19,79,8.0,52.848101265822784,99.0,0.0,38.46835443037975,84.0
20,76,7.0,45.61842105263158,99.0,0.0,30.31578947368421,84.0
21,90,8.0,44.544444444444444,97.0,0.0,30.41111111111111,82.0
22,67,8.0,41.80597014925373,94.0,0.0,28.208955223880597,78.0
23,70,8.0,44.25714285714286,97.0,0.0,30.014285714285716,83.0
24,61,8.0,46.68852459016394,92.0,0.0,32.377049180327866,79.0
25,86,8.0,46.906976744186046,96.0,0.0,32.23255813953488,81.0
26,77,7.0,45.01298701298701,98.0,0.0,31.064935064935064,83.0
27,70,8.0,41.15714285714286,98.0,0.0,27.085714285714285,83.0
28,80,8.0,46.3125,95.0,0.0,31.7,80.0
29,86,7.0,46.53488372093023,99.0,0.0,32.127906976744185,83.0
30,74,8.0,45.351351351351354,98.0,0.0,31.513513513513512,82.0
31,88,8.0,41.875,95.0,0.0,28.170454545454547,81.0
32,62,9.0,51.225806451612904,97.0,0.0,36.32258064516129,83.0
33,80,8.0,43.0875,96.0,0.0,28.475,82.0
34,77,8.0,41.64935064935065,97.0,0.0,27.7012987012987,81.0
35,78,8.0,50.782051282051285,96.0,0.0,36.32051282051282,82.0
36,89,8.0,44.651685393258425,97.0,0.0,30.528089887640448,82.0
37,85,8.0,44.37647058823529,95.0,0.0,29.988235294117647,81.0
38,80,7.0,42.75,96.0,0.0,28.725,81.0
39,56,8.0,37.69642857142857,97.0,0.0,24.375,83.0
40,85,7.0,47.03529411764706,96.0,0.0,32.741176470588236,80.0
41,78,7.0,47.82051282051282,97.0,0.0,33.06410256410256,82.0
