run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,61,10.0,22.459016393442624,78.0,0.0,7.508196721311475,57.0
1,41,11.0,20.4390243902439,61.0,0.0,6.195121951219512,43.0
2,73,11.0,35.87671232876713,156.0,0.0,17.616438356164384,131.0
3,61,10.0,22.737704918032787,53.0,0.0,7.0,34.0
4,63,11.0,22.047619047619047,77.0,0.0,6.111111111111111,55.0
5,49,10.0,21.06122448979592,61.0,0.0,5.816326530612245,41.0
6,50,10.0,17.62,50.0,0.0,3.6,35.0
7,64,10.0,28.125,118.0,0.0,11.96875,100.0
8,56,10.0,16.660714285714285,41.0,0.0,2.4107142857142856,23.0
9,62,10.0,19.612903225806452,65.0,0.0,5.048387096774194,40.0
10,61,10.0,22.65573770491803,83.0,0.0,6.950819672131147,60.0
11,58,10.0,17.603448275862068,47.0,0.0,3.206896551724138,30.0
12,45,10.0,17.31111111111111,38.0,0.0,3.4444444444444446,22.0
13,61,10.0,19.295081967213115,63.0,0.0,4.229508196721311,46.0
14,51,10.0,14.294117647058824,32.0,0.0,1.1372549019607843,16.0
15,66,10.0,25.696969696969695,78.0,0.0,9.303030303030303,61.0
16,52,10.0,22.673076923076923,59.0,0.0,7.403846153846154,40.0
17,45,11.0,15.71111111111111,35.0,0.0,1.711111111111111,19.0
18,62,11.0,16.903225806451612,38.0,0.0,2.5806451612903225,22.0
19,58,10.0,16.344827586206897,38.0,0.0,1.9310344827586208,22.0
20,57,10.0,25.56140350877193,64.0,0.0,10.31578947368421,49.0
21,53,11.0,19.867924528301888,65.0,0.0,5.584905660377358,49.0
22,61,10.0,18.83606557377049,47.0,0.0,3.8360655737704916,31.0
23,56,10.0,18.285714285714285,52.0,0.0,3.607142857142857,35.0
24,51,10.0,17.137254901960784,44.0,0.0,2.9607843137254903,26.0
25,65,11.0,37.04615384615385,112.0,0.0,19.50769230769231,90.0
26,60,10.0,20.983333333333334,73.0,0.0,5.866666666666666,49.0
27,55,10.0,22.490909090909092,59.0,0.0,7.3090909090909095,40.0
28,58,11.0,16.051724137931036,32.0,0.0,1.7413793103448276,16.0
29,51,10.0,16.333333333333332,51.0,0.0,2.196078431372549,36.0
30,57,11.0,22.36842105263158,96.0,0.0,7.56140350877193,76.0
31,44,10.0,19.022727272727273,56.0,0.0,4.295454545454546,32.0
32,53,10.0,19.867924528301888,63.0,0.0,5.037735849056604,43.0
33,53,10.0,19.849056603773583,54.0,0.0,5.264150943396227,35.0
34,45,11.0,18.8,54.0,0.0,4.111111111111111,34.0
35,66,10.0,15.606060606060606,42.0,0.0,1.5,27.0
36,53,10.0,16.60377358490566,43.0,0.0,2.4150943396226414,25.0
37,63,11.0,22.3015873015873,52.0,0.0,6.238095238095238,34.0
38,60,10.0,23.15,65.0,0.0,7.55,49.0
39,49,10.0,14.10204081632653,28.0,0.0,0.7346938775510204,11.0
40,60,10.0,14.883333333333333,31.0,0.0,1.3166666666666667,14.0
41,54,10.0,17.574074074074073,67.0,0.0,3.6666666666666665,42.0
