run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,89,12.0,91.19101123595506,286.0,0.0,55.561797752808985,227.0
1,79,10.0,58.10126582278481,320.0,0.0,40.0253164556962,292.0
2,80,11.0,53.0,291.0,0.0,31.4,270.0
3,84,11.0,56.79761904761905,324.0,0.0,36.0,299.0
4,88,12.0,74.86363636363636,275.0,0.0,51.43181818181818,240.0
5,83,10.0,49.24096385542169,270.0,0.0,27.83132530120482,225.0
6,87,10.0,89.98850574712644,288.0,0.0,63.18390804597701,255.0
7,82,11.0,52.21951219512195,245.0,0.0,30.817073170731707,219.0
8,99,11.0,77.20202020202021,188.0,0.0,48.56565656565657,149.0
9,89,11.0,72.40449438202248,261.0,0.0,47.48314606741573,237.0
10,98,10.0,68.72448979591837,296.0,0.0,42.86734693877551,266.0
11,98,12.0,77.33673469387755,272.0,0.0,50.11224489795919,247.0
12,89,10.0,45.157303370786515,285.0,0.0,20.876404494382022,255.0
13,86,10.0,65.98837209302326,214.0,0.0,41.51162790697674,175.0
14,95,10.0,69.93684210526315,183.0,0.0,40.48421052631579,149.0
15,93,10.0,79.55913978494624,272.0,0.0,51.935483870967744,232.0
16,86,11.0,63.372093023255815,267.0,0.0,38.872093023255815,224.0
17,87,11.0,62.229885057471265,327.0,0.0,40.59770114942529,293.0
18,91,12.0,78.84615384615384,282.0,0.0,49.934065934065934,253.0
19,83,10.0,62.2289156626506,265.0,0.0,39.45783132530121,219.0
20,87,12.0,73.60919540229885,285.0,0.0,46.44827586206897,243.0
21,79,11.0,63.88607594936709,201.0,0.0,39.40506329113924,151.0
22,89,10.0,64.95505617977528,255.0,0.0,39.7752808988764,229.0
23,88,10.0,87.54545454545455,281.0,0.0,57.86363636363637,249.0
24,89,10.0,64.6067415730337,250.0,0.0,38.26966292134831,209.0
25,82,11.0,64.9390243902439,247.0,0.0,41.30487804878049,226.0
26,87,12.0,80.40229885057471,248.0,0.0,53.13793103448276,212.0
27,94,12.0,81.64893617021276,307.0,0.0,54.54255319148936,272.0
28,89,10.0,65.29213483146067,307.0,0.0,39.60674157303371,270.0
29,82,10.0,37.53658536585366,315.0,0.0,18.29268292682927,285.0
30,90,10.0,78.95555555555555,305.0,0.0,52.077777777777776,268.0
31,95,12.0,74.63157894736842,304.0,0.0,47.28421052631579,266.0
32,93,11.0,86.72043010752688,221.0,0.0,58.354838709677416,194.0
33,75,10.0,40.0,253.0,0.0,18.746666666666666,233.0
34,88,11.0,49.375,262.0,0.0,21.704545454545453,235.0
35,89,10.0,92.10112359550561,218.0,0.0,59.39325842696629,176.0
36,88,12.0,69.07954545454545,256.0,0.0,44.5,224.0
37,102,11.0,86.31372549019608,256.0,0.0,53.59803921568628,231.0
38,90,12.0,70.23333333333333,280.0,0.0,46.43333333333333,242.0
39,98,12.0,85.3265306122449,264.0,0.0,53.53061224489796,239.0
40,86,12.0,72.95348837209302,305.0,0.0,47.72093023255814,276.0
41,88,12.0,77.20454545454545,274.0,0.0,50.57954545454545,232.0
