run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,78,11.0,55.256410256410255,260.0,0.0,36.17948717948718,222.0
1,84,10.0,51.11904761904762,247.0,0.0,30.547619047619047,205.0
2,83,12.0,66.83132530120481,228.0,0.0,41.626506024096386,172.0
3,79,10.0,37.30379746835443,174.0,0.0,19.39240506329114,152.0
4,78,12.0,44.294871794871796,282.0,0.0,24.935897435897434,249.0
5,72,11.0,56.47222222222222,251.0,0.0,35.791666666666664,212.0
6,72,10.0,33.52777777777778,149.0,0.0,17.47222222222222,121.0
7,77,11.0,63.66233766233766,242.0,0.0,42.896103896103895,217.0
8,84,10.0,60.20238095238095,242.0,0.0,35.345238095238095,209.0
9,80,10.0,58.0,225.0,0.0,36.3,185.0
10,76,12.0,66.98684210526316,210.0,0.0,44.276315789473685,159.0
11,87,10.0,44.18390804597701,209.0,0.0,24.919540229885058,183.0
12,86,12.0,61.5,170.0,0.0,38.97674418604651,145.0
13,84,11.0,44.26190476190476,143.0,0.0,24.785714285714285,126.0
14,78,10.0,57.07692307692308,207.0,0.0,37.76923076923077,174.0
15,79,10.0,72.9493670886076,269.0,0.0,47.9746835443038,234.0
16,83,10.0,43.0722891566265,209.0,0.0,22.337349397590362,134.0
17,75,11.0,40.4,249.0,0.0,21.746666666666666,221.0
18,82,11.0,59.451219512195124,240.0,0.0,36.47560975609756,203.0
19,88,11.0,56.48863636363637,253.0,0.0,34.65909090909091,214.0
20,79,10.0,47.10126582278481,210.0,0.0,27.810126582278482,190.0
21,90,10.0,60.48888888888889,211.0,0.0,36.72222222222222,163.0
22,77,11.0,68.24675324675324,195.0,0.0,44.064935064935064,160.0
23,85,10.0,59.694117647058825,232.0,0.0,35.50588235294118,196.0
24,82,10.0,47.5609756097561,250.0,0.0,29.28048780487805,224.0
25,79,12.0,55.40506329113924,271.0,0.0,34.835443037974684,240.0
26,73,12.0,86.6986301369863,223.0,0.0,58.58904109589041,193.0
27,75,11.0,42.17333333333333,175.0,0.0,24.14666666666667,143.0
28,78,10.0,54.97435897435897,217.0,0.0,35.705128205128204,196.0
29,69,10.0,40.26086956521739,190.0,0.0,21.347826086956523,172.0
30,79,11.0,48.74683544303797,248.0,0.0,25.89873417721519,222.0
31,75,10.0,55.693333333333335,218.0,0.0,32.68,195.0
32,81,10.0,61.69135802469136,250.0,0.0,40.370370370370374,207.0
33,77,12.0,61.688311688311686,253.0,0.0,37.79220779220779,214.0
34,76,10.0,39.671052631578945,335.0,0.0,21.43421052631579,305.0
35,72,10.0,46.34722222222222,216.0,0.0,27.791666666666668,179.0
36,71,11.0,60.29577464788732,294.0,0.0,41.267605633802816,253.0
37,83,12.0,55.265060240963855,224.0,0.0,31.771084337349397,174.0
38,86,10.0,46.73255813953488,239.0,0.0,26.22093023255814,192.0
39,70,10.0,37.81428571428572,170.0,0.0,20.285714285714285,134.0
40,90,11.0,47.65555555555556,296.0,0.0,27.555555555555557,251.0
41,75,10.0,56.72,230.0,0.0,35.72,188.0
