run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,74,10.0,35.310810810810814,148.0,0.0,16.7027027027027,113.0
1,80,10.0,74.1875,212.0,0.0,51.825,177.0
2,88,12.0,80.20454545454545,315.0,0.0,48.0,288.0
3,68,10.0,24.426470588235293,89.0,0.0,8.279411764705882,62.0
4,91,12.0,72.13186813186813,195.0,0.0,45.472527472527474,151.0
5,73,10.0,42.657534246575345,151.0,0.0,23.123287671232877,110.0
6,82,10.0,40.63414634146341,164.0,0.0,21.20731707317073,133.0
7,93,12.0,69.38709677419355,229.0,0.0,41.38709677419355,177.0
8,89,10.0,68.23595505617978,213.0,0.0,44.561797752808985,194.0
9,86,11.0,64.51162790697674,259.0,0.0,41.16279069767442,233.0
10,89,10.0,72.98876404494382,203.0,0.0,48.01123595505618,166.0
11,84,11.0,57.79761904761905,296.0,0.0,33.67857142857143,268.0
12,78,10.0,40.55128205128205,136.0,0.0,20.846153846153847,112.0
13,76,10.0,73.14473684210526,253.0,0.0,48.18421052631579,226.0
14,71,10.0,20.140845070422536,89.0,0.0,5.28169014084507,67.0
15,97,12.0,58.845360824742265,262.0,0.0,36.28865979381443,221.0
16,78,11.0,61.53846153846154,248.0,0.0,40.41025641025641,214.0
17,81,11.0,72.24691358024691,260.0,0.0,46.28395061728395,229.0
18,81,10.0,47.901234567901234,313.0,0.0,22.938271604938272,281.0
19,75,11.0,27.36,90.0,0.0,9.653333333333334,60.0
20,72,10.0,22.84722222222222,105.0,0.0,6.611111111111111,88.0
21,84,10.0,39.892857142857146,120.0,0.0,13.130952380952381,67.0
22,81,10.0,70.01234567901234,259.0,0.0,48.93827160493827,221.0
23,81,10.0,41.98765432098765,216.0,0.0,22.40740740740741,184.0
24,77,10.0,23.194805194805195,90.0,0.0,6.818181818181818,59.0
25,90,11.0,34.766666666666666,165.0,0.0,17.7,141.0
26,76,10.0,26.32894736842105,296.0,0.0,10.421052631578947,274.0
27,83,10.0,40.325301204819276,179.0,0.0,20.289156626506024,157.0
28,84,10.0,52.73809523809524,176.0,0.0,29.142857142857142,143.0
29,77,12.0,73.71428571428571,309.0,0.0,47.246753246753244,282.0
30,93,10.0,37.946236559139784,93.0,0.0,17.56989247311828,67.0
31,84,10.0,44.05952380952381,267.0,0.0,23.86904761904762,238.0
32,81,10.0,43.370370370370374,270.0,0.0,23.419753086419753,215.0
33,75,10.0,26.813333333333333,103.0,0.0,10.706666666666667,83.0
34,79,10.0,61.620253164556964,263.0,0.0,41.0126582278481,220.0
35,85,10.0,34.188235294117646,95.0,0.0,14.494117647058824,71.0
36,86,10.0,37.44186046511628,288.0,0.0,18.802325581395348,253.0
37,89,12.0,65.10112359550561,246.0,0.0,38.92134831460674,218.0
38,77,10.0,58.324675324675326,236.0,0.0,35.97402597402598,215.0
39,92,12.0,55.41304347826087,154.0,0.0,31.72826086956522,113.0
40,90,10.0,42.36666666666667,183.0,0.0,21.488888888888887,154.0
41,83,11.0,57.963855421686745,245.0,0.0,35.40963855421687,212.0
