run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,61,10.0,30.62295081967213,92.0,0.0,13.78688524590164,71.0
1,72,11.0,38.611111111111114,141.0,0.0,20.88888888888889,125.0
2,76,10.0,29.68421052631579,80.0,0.0,12.486842105263158,65.0
3,72,10.0,48.388888888888886,149.0,0.0,29.15277777777778,120.0
4,73,10.0,33.31506849315068,106.0,0.0,15.63013698630137,77.0
5,86,10.0,43.25581395348837,173.0,0.0,22.837209302325583,153.0
6,71,10.0,38.605633802816904,116.0,0.0,20.12676056338028,83.0
7,77,10.0,41.64935064935065,162.0,0.0,23.948051948051948,139.0
8,64,10.0,17.984375,44.0,0.0,3.40625,27.0
9,77,10.0,32.896103896103895,138.0,0.0,14.87012987012987,118.0
10,67,11.0,44.38805970149254,123.0,0.0,24.47761194029851,104.0
11,71,10.0,29.098591549295776,112.0,0.0,12.971830985915492,90.0
12,70,10.0,26.114285714285714,80.0,0.0,8.342857142857143,45.0
13,83,11.0,29.012048192771083,77.0,0.0,9.771084337349398,53.0
14,78,10.0,34.282051282051285,100.0,0.0,16.307692307692307,77.0
15,78,10.0,32.243589743589745,118.0,0.0,15.820512820512821,92.0
16,71,10.0,40.11267605633803,131.0,0.0,21.197183098591548,111.0
17,76,10.0,43.026315789473685,159.0,0.0,24.56578947368421,121.0
18,76,11.0,32.38157894736842,168.0,0.0,15.855263157894736,145.0
19,65,11.0,47.90769230769231,218.0,0.0,29.615384615384617,193.0
20,66,10.0,23.272727272727273,103.0,0.0,7.96969696969697,88.0
21,69,10.0,37.768115942028984,181.0,0.0,20.246376811594203,160.0
22,72,10.0,30.51388888888889,96.0,0.0,12.76388888888889,64.0
23,69,10.0,37.869565217391305,85.0,0.0,18.681159420289855,60.0
24,77,10.0,26.31168831168831,81.0,0.0,9.792207792207792,54.0
25,78,10.0,54.94871794871795,165.0,0.0,31.192307692307693,131.0
26,79,10.0,32.050632911392405,122.0,0.0,14.886075949367088,102.0
27,77,10.0,31.2987012987013,128.0,0.0,12.714285714285714,107.0
28,73,10.0,20.465753424657535,59.0,0.0,5.301369863013699,41.0
29,77,10.0,43.77922077922078,127.0,0.0,22.74025974025974,94.0
30,80,10.0,49.4875,151.0,0.0,28.2625,108.0
31,70,11.0,21.2,77.0,0.0,5.728571428571429,56.0
32,59,11.0,36.54237288135593,144.0,0.0,19.271186440677965,112.0
33,80,11.0,53.725,168.0,0.0,32.0125,149.0
34,73,10.0,32.19178082191781,180.0,0.0,15.397260273972602,163.0
35,81,11.0,47.54320987654321,230.0,0.0,27.493827160493826,200.0
36,77,10.0,37.96103896103896,294.0,0.0,20.155844155844157,249.0
37,82,10.0,27.48780487804878,98.0,0.0,10.353658536585366,81.0
38,77,11.0,40.84415584415584,125.0,0.0,21.87012987012987,108.0
39,78,10.0,36.256410256410255,94.0,0.0,18.128205128205128,80.0
40,71,10.0,22.08450704225352,60.0,0.0,6.436619718309859,44.0
41,71,10.0,50.690140845070424,182.0,0.0,29.887323943661972,158.0
