run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,59,9.0,15.491525423728813,42.0,0.0,2.6779661016949152,23.0
1,48,9.0,13.104166666666666,28.0,0.0,1.1458333333333333,12.0
2,54,9.0,14.722222222222221,57.0,0.0,2.388888888888889,40.0
3,57,9.0,13.333333333333334,29.0,0.0,1.3333333333333333,13.0
4,55,9.0,14.745454545454546,44.0,0.0,2.018181818181818,29.0
5,63,9.0,15.698412698412698,38.0,0.0,2.8253968253968256,24.0
6,77,9.0,15.207792207792208,32.0,0.0,2.220779220779221,17.0
7,56,9.0,13.482142857142858,31.0,0.0,1.2857142857142858,18.0
8,57,9.0,12.192982456140351,27.0,0.0,0.5789473684210527,10.0
9,60,9.0,16.0,54.0,0.0,3.4166666666666665,35.0
10,60,9.0,16.033333333333335,67.0,0.0,3.6666666666666665,48.0
11,49,10.0,15.428571428571429,41.0,0.0,2.489795918367347,26.0
12,53,9.0,11.50943396226415,19.0,0.0,0.16981132075471697,5.0
13,64,9.0,14.65625,40.0,0.0,1.859375,23.0
14,55,9.0,12.981818181818182,37.0,0.0,1.2545454545454546,20.0
15,57,9.0,13.631578947368421,29.0,0.0,1.4912280701754386,13.0
16,62,9.0,11.903225806451612,23.0,0.0,0.4032258064516129,7.0
17,48,9.0,12.0,20.0,0.0,0.14583333333333334,3.0
18,65,9.0,11.938461538461539,23.0,0.0,0.3230769230769231,10.0
19,58,9.0,13.068965517241379,39.0,0.0,1.0172413793103448,23.0
20,57,9.0,12.614035087719298,30.0,0.0,0.8245614035087719,14.0
21,50,9.0,13.2,39.0,0.0,1.44,25.0
22,61,9.0,18.0,54.0,0.0,5.098360655737705,41.0
23,64,9.0,14.40625,44.0,0.0,2.328125,29.0
24,57,9.0,12.368421052631579,26.0,0.0,0.7894736842105263,11.0
25,49,9.0,13.285714285714286,37.0,0.0,1.1224489795918366,21.0
26,76,9.0,15.671052631578947,51.0,0.0,2.710526315789474,37.0
27,55,9.0,12.854545454545455,28.0,0.0,0.9818181818181818,13.0
28,57,9.0,12.385964912280702,33.0,0.0,0.7017543859649122,14.0
29,52,9.0,12.51923076923077,26.0,0.0,0.75,11.0
30,62,9.0,12.03225806451613,19.0,0.0,0.25806451612903225,5.0
31,50,9.0,12.12,24.0,0.0,0.44,9.0
32,45,9.0,11.6,19.0,0.0,0.26666666666666666,5.0
33,49,9.0,11.89795918367347,24.0,0.0,0.4489795918367347,8.0
34,54,10.0,13.185185185185185,32.0,0.0,1.1481481481481481,18.0
35,53,9.0,12.49056603773585,24.0,0.0,0.5283018867924528,7.0
36,56,9.0,11.857142857142858,28.0,0.0,0.35714285714285715,10.0
37,47,9.0,12.553191489361701,25.0,0.0,0.6808510638297872,9.0
38,55,9.0,12.727272727272727,30.0,0.0,0.8727272727272727,16.0
39,58,9.0,15.0,32.0,0.0,2.4827586206896552,17.0
40,64,9.0,18.71875,59.0,0.0,5.515625,42.0
41,55,9.0,12.527272727272727,26.0,0.0,0.8363636363636363,10.0
