run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,96,11.0,86.19791666666667,153.0,0.0,47.8125,104.0
1,104,10.0,44.10576923076923,118.0,0.0,21.826923076923077,93.0
2,96,9.0,73.65625,178.0,0.0,37.947916666666664,122.0
3,96,9.0,60.354166666666664,205.0,0.0,30.4375,156.0
4,104,9.0,79.17307692307692,168.0,0.0,44.50961538461539,103.0
5,93,9.0,69.0752688172043,175.0,0.0,37.02150537634409,128.0
6,100,9.0,92.41,213.0,0.0,53.42,168.0
7,98,11.0,61.244897959183675,150.0,0.0,32.795918367346935,89.0
8,95,11.0,91.76842105263158,192.0,0.0,52.526315789473685,131.0
9,97,9.0,82.19587628865979,180.0,0.0,49.1958762886598,131.0
10,92,9.0,78.05434782608695,161.0,0.0,43.69565217391305,104.0
11,91,9.0,73.26373626373626,232.0,0.0,45.40659340659341,161.0
12,100,9.0,41.43,262.0,0.0,21.31,223.0
13,100,9.0,63.31,156.0,0.0,33.71,94.0
14,98,11.0,79.3265306122449,256.0,0.0,47.45918367346939,192.0
15,98,11.0,66.57142857142857,242.0,0.0,41.19387755102041,190.0
16,108,11.0,75.97222222222223,259.0,0.0,42.898148148148145,204.0
17,99,11.0,58.86868686868687,154.0,0.0,30.949494949494948,93.0
18,94,11.0,83.1063829787234,198.0,0.0,47.180851063829785,138.0
19,98,9.0,69.23469387755102,196.0,0.0,40.8469387755102,153.0
20,93,9.0,60.74193548387097,190.0,0.0,35.46236559139785,134.0
21,101,9.0,65.48514851485149,230.0,0.0,38.16831683168317,178.0
22,101,9.0,60.495049504950494,265.0,0.0,36.742574257425744,220.0
23,98,9.0,80.81632653061224,180.0,0.0,44.38775510204081,113.0
24,97,9.0,49.72164948453608,212.0,0.0,27.7319587628866,155.0
25,97,10.0,62.27835051546392,187.0,0.0,33.96907216494845,127.0
26,103,9.0,48.359223300970875,196.0,0.0,26.271844660194176,151.0
27,102,9.0,42.09803921568628,188.0,0.0,22.333333333333332,158.0
28,95,16.0,96.32631578947368,217.0,0.0,57.02105263157895,164.0
29,91,11.0,78.05494505494505,234.0,0.0,44.79120879120879,185.0
30,98,11.0,82.59183673469387,250.0,0.0,50.224489795918366,198.0
31,107,9.0,34.41121495327103,206.0,0.0,17.672897196261683,178.0
32,101,11.0,69.95049504950495,182.0,0.0,40.13861386138614,135.0
33,100,10.0,90.67,217.0,0.0,48.25,151.0
34,98,9.0,71.51020408163265,194.0,0.0,40.53061224489796,145.0
35,92,9.0,71.6195652173913,168.0,0.0,39.98913043478261,106.0
36,98,9.0,70.43877551020408,246.0,0.0,40.86734693877551,198.0
37,105,11.0,80.9047619047619,264.0,0.0,48.96190476190476,204.0
38,99,9.0,57.60606060606061,180.0,0.0,31.232323232323232,107.0
39,100,10.0,62.58,231.0,0.0,32.77,203.0
40,103,9.0,67.47572815533981,256.0,0.0,39.52427184466019,194.0
41,90,9.0,62.4,241.0,0.0,37.65555555555556,202.0
