run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,95,10.0,72.4,204.0,0.0,42.136842105263156,130.0
1,92,9.0,31.48913043478261,154.0,0.0,14.576086956521738,131.0
2,93,9.0,23.612903225806452,79.0,0.0,8.591397849462366,65.0
3,93,11.0,64.81720430107526,141.0,0.0,37.41935483870968,100.0
4,97,9.0,17.77319587628866,59.0,0.0,4.123711340206185,44.0
5,91,10.0,38.747252747252745,151.0,0.0,20.824175824175825,120.0
6,97,11.0,65.95876288659794,129.0,0.0,39.02061855670103,96.0
7,98,9.0,20.989795918367346,68.0,0.0,6.8979591836734695,52.0
8,99,10.0,44.73737373737374,163.0,0.0,22.636363636363637,126.0
9,85,9.0,49.23529411764706,157.0,0.0,27.83529411764706,129.0
10,99,9.0,40.898989898989896,137.0,0.0,22.717171717171716,118.0
11,99,10.0,52.696969696969695,110.0,0.0,27.515151515151516,83.0
12,99,9.0,35.07070707070707,140.0,0.0,15.95959595959596,108.0
13,95,11.0,50.26315789473684,143.0,0.0,26.50526315789474,91.0
14,92,10.0,60.130434782608695,146.0,0.0,34.22826086956522,123.0
15,91,9.0,52.472527472527474,175.0,0.0,30.406593406593405,156.0
16,95,9.0,34.51578947368421,106.0,0.0,16.073684210526316,85.0
17,91,10.0,39.065934065934066,92.0,0.0,20.802197802197803,68.0
18,94,11.0,61.787234042553195,133.0,0.0,32.138297872340424,90.0
19,93,10.0,47.12903225806452,113.0,0.0,24.419354838709676,80.0
20,94,9.0,46.5,114.0,0.0,23.23404255319149,86.0
21,102,9.0,45.07843137254902,137.0,0.0,23.54901960784314,103.0
22,95,9.0,35.11578947368421,108.0,0.0,17.589473684210525,73.0
23,95,10.0,37.43157894736842,127.0,0.0,19.96842105263158,107.0
24,90,9.0,56.544444444444444,203.0,0.0,34.03333333333333,160.0
25,84,10.0,16.285714285714285,40.0,0.0,2.9285714285714284,19.0
26,99,10.0,54.60606060606061,203.0,0.0,30.505050505050505,165.0
27,92,10.0,57.641304347826086,201.0,0.0,30.641304347826086,158.0
28,94,9.0,20.20212765957447,67.0,0.0,6.212765957446808,53.0
29,96,9.0,18.916666666666668,44.0,0.0,5.260416666666667,26.0
30,96,10.0,46.447916666666664,110.0,0.0,25.1875,76.0
31,91,9.0,48.56043956043956,154.0,0.0,27.86813186813187,115.0
32,101,9.0,27.287128712871286,109.0,0.0,11.089108910891088,79.0
33,105,9.0,35.38095238095238,108.0,0.0,16.6,81.0
34,96,9.0,27.916666666666668,75.0,0.0,10.375,54.0
35,94,9.0,56.148936170212764,179.0,0.0,30.04255319148936,134.0
36,88,10.0,23.03409090909091,99.0,0.0,8.056818181818182,72.0
37,99,9.0,28.333333333333332,86.0,0.0,12.121212121212121,63.0
38,102,9.0,38.65686274509804,114.0,0.0,20.88235294117647,95.0
39,87,9.0,21.28735632183908,95.0,0.0,7.068965517241379,72.0
40,91,10.0,49.86813186813187,133.0,0.0,26.912087912087912,99.0
41,99,9.0,33.80808080808081,117.0,0.0,16.464646464646464,98.0
