run,n_vehicles,travel_time_min,travel_time_avg,travel_time_max,waiting_time_min,waiting_time_avg,waiting_time_max
0,87,10.0,20.597701149425287,81.0,0.0,6.839080459770115,63.0
1,83,9.0,16.734939759036145,39.0,0.0,3.253012048192771,26.0
2,57,9.0,12.596491228070175,27.0,0.0,0.7192982456140351,13.0
3,79,9.0,14.253164556962025,43.0,0.0,1.7974683544303798,29.0
4,65,9.0,13.015384615384615,46.0,0.0,1.0769230769230769,31.0
5,86,9.0,16.593023255813954,54.0,0.0,3.604651162790698,37.0
6,87,9.0,16.839080459770116,46.0,0.0,3.7126436781609193,30.0
7,74,9.0,16.364864864864863,36.0,0.0,3.2837837837837838,23.0
8,76,9.0,16.32894736842105,38.0,0.0,3.5657894736842106,23.0
9,78,9.0,16.256410256410255,52.0,0.0,2.9743589743589745,39.0
10,60,9.0,13.7,41.0,0.0,1.9,25.0
11,74,9.0,26.35135135135135,117.0,0.0,12.027027027027026,95.0
12,82,9.0,14.231707317073171,39.0,0.0,1.7560975609756098,22.0
13,79,9.0,17.11392405063291,52.0,0.0,4.139240506329114,37.0
14,79,9.0,16.164556962025316,51.0,0.0,2.7848101265822787,33.0
15,79,9.0,16.848101265822784,62.0,0.0,3.4936708860759493,47.0
16,83,9.0,26.216867469879517,77.0,0.0,9.951807228915662,55.0
17,76,9.0,15.394736842105264,50.0,0.0,2.3552631578947367,36.0
18,93,9.0,40.365591397849464,154.0,0.0,20.258064516129032,112.0
19,85,9.0,17.294117647058822,46.0,0.0,3.764705882352941,27.0
20,76,9.0,16.80263157894737,56.0,0.0,3.8815789473684212,41.0
21,81,9.0,22.135802469135804,66.0,0.0,7.296296296296297,50.0
22,74,9.0,15.08108108108108,47.0,0.0,2.7567567567567566,34.0
23,88,9.0,16.59090909090909,63.0,0.0,3.5,48.0
24,92,9.0,20.08695652173913,96.0,0.0,6.543478260869565,82.0
25,79,9.0,15.189873417721518,42.0,0.0,2.5063291139240507,27.0
26,67,9.0,16.328358208955223,50.0,0.0,3.08955223880597,30.0
27,87,9.0,19.64367816091954,66.0,0.0,5.011494252873563,52.0
28,76,9.0,17.407894736842106,43.0,0.0,3.6578947368421053,19.0
29,83,9.0,38.566265060240966,146.0,0.0,18.518072289156628,110.0
30,103,9.0,26.660194174757283,84.0,0.0,9.592233009708737,53.0
31,91,9.0,28.560439560439562,96.0,0.0,13.868131868131869,81.0
32,70,9.0,15.057142857142857,50.0,0.0,2.657142857142857,34.0
33,78,9.0,20.525641025641026,78.0,0.0,6.487179487179487,64.0
34,65,9.0,13.723076923076922,43.0,0.0,1.8307692307692307,29.0
35,88,9.0,14.954545454545455,38.0,0.0,2.125,20.0
36,81,9.0,13.679012345679013,33.0,0.0,1.4074074074074074,18.0
37,88,9.0,18.21590909090909,55.0,0.0,4.636363636363637,35.0
38,83,9.0,17.6144578313253,69.0,0.0,4.265060240963855,52.0
39,75,9.0,18.386666666666667,56.0,0.0,5.28,37.0
40,74,9.0,16.04054054054054,65.0,0.0,3.3378378378378377,49.0
41,66,9.0,15.590909090909092,43.0,0.0,2.8333333333333335,23.0
