scenario,intention,traffic_rate,travel_time
FTL10,all_left,Sc1_All_low,34.503478260869564
FTL10,all_left,Sc2_All_high_3H,73.99300209937019
FTL10,all_left,Sc3_All_medium,42.82464255677039
FTL10,all_left,Sc4_Mixed_2H,63.06073211314476
FTL10,all_left,Sc5_Mixed_1H,54.453519855595665
FTL10,all_left,Sc6_Mixed_ML,42.92645314353499
FTL10,all_straight,Sc1_All_low,32.30597014925373
FTL10,all_straight,Sc2_All_high_3H,68.9571972098922
FTL10,all_straight,Sc3_All_medium,44.61375212224109
FTL10,all_straight,Sc4_Mixed_2H,62.39514802631579
FTL10,all_straight,Sc5_Mixed_1H,51.30567879325643
FTL10,all_straight,Sc6_Mixed_ML,35.45124716553288
FTL10,assymetric_random,Sc1_All_low,37.343601895734594
FTL10,assymetric_random,Sc2_All_high_3H,86.76727410782081
FTL10,assymetric_random,Sc3_All_medium,51.07721518987342
FTL10,assymetric_random,Sc4_Mixed_2H,70.33115384615385
FTL10,assymetric_random,Sc5_Mixed_1H,60.885998107852416
FTL10,assymetric_random,Sc6_Mixed_ML,39.16625916870416
FTL10,uniform_random,Sc1_All_low,33.80263157894737
FTL10,uniform_random,Sc2_All_high_3H,88.41747572815534
FTL10,uniform_random,Sc3_All_medium,51.47699115044248
FTL10,uniform_random,Sc4_Mixed_2H,70.39456106870229
FTL10,uniform_random,Sc5_Mixed_1H,58.60485651214128
FTL10,uniform_random,Sc6_Mixed_ML,41.685584562996596
FTL20,all_left,Sc1_All_low,36.53636363636364
FTL20,all_left,Sc2_All_high_3H,53.69278606965174
FTL20,all_left,Sc3_All_medium,39.45526097763049
FTL20,all_left,Sc4_Mixed_2H,52.45931758530184
FTL20,all_left,Sc5_Mixed_1H,49.29902395740905
FTL20,all_left,Sc6_Mixed_ML,37.48391089108911
FTL20,all_straight,Sc1_All_low,33.64334470989761
FTL20,all_straight,Sc2_All_high_3H,56.325208466966004
FTL20,all_straight,Sc3_All_medium,35.45051635111876
FTL20,all_straight,Sc4_Mixed_2H,51.59171195652174
FTL20,all_straight,Sc5_Mixed_1H,43.522804054054056
FTL20,all_straight,Sc6_Mixed_ML,35.92491268917346
FTL20,assymetric_random,Sc1_All_low,35.620745542949756
FTL20,assymetric_random,Sc2_All_high_3H,70.14231036882394
FTL20,assymetric_random,Sc3_All_medium,41.69705340699816
FTL20,assymetric_random,Sc4_Mixed_2H,58.13444108761329
FTL20,assymetric_random,Sc5_Mixed_1H,50.21316758747698
FTL20,assymetric_random,Sc6_Mixed_ML,38.55110336817654
FTL20,uniform_random,Sc1_All_low,36.87367624810893
FTL20,uniform_random,Sc2_All_high_3H,78.67001295336787
FTL20,uniform_random,Sc3_All_medium,43.96425531914893
FTL20,uniform_random,Sc4_Mixed_2H,61.476575121163165
FTL20,uniform_random,Sc5_Mixed_1H,48.119135234590615
FTL20,uniform_random,Sc6_Mixed_ML,37.54405874499332
FTL30,all_straight,Sc1_All_low,36.098173515981735
