scenario,intention,mean,std,count
adaptive_tl,all_left,38.35193964607003,13.137282187642953,94708
adaptive_tl,all_straight,35.87718952758027,12.9664904053964,96482
adaptive_tl,assymetric_random,44.02964621965588,18.919936647349374,94211
adaptive_tl,uniform_random,43.9346667384516,19.082525938708642,92870
fixed_tl,all_left,45.22860073384018,15.317974901685524,94571
fixed_tl,all_straight,40.26334263011103,14.273969711339427,95015
fixed_tl,assymetric_random,52.59887153630401,22.66698728653779,91629
fixed_tl,uniform_random,53.516466211619075,24.129166146016157,91126
rbl,all_left,74.74812462113559,59.29062044072941,79184
rbl,all_straight,51.297384668825565,32.65842308212984,89243
rbl,assymetric_random,45.21340107970784,31.72075605763734,91321
rbl,uniform_random,53.603743037000136,38.75846743715471,88324
