scenario,intention,traffic_rate,travel_time
FTL10,all_left,Sc1_All_low,34.124496521420724
FTL10,all_left,Sc2_All_high_3H,86.06014554794521
FTL10,all_left,Sc3_All_medium,45.24982918193677
FTL10,all_left,Sc4_Mixed_2H,74.49623833885043
FTL10,all_left,Sc5_Mixed_1H,60.6421287444232
FTL10,all_left,Sc6_Mixed_ML,40.11089816186079
FTL10,all_straight,Sc1_All_low,30.713967586292217
FTL10,all_straight,Sc2_All_high_3H,84.0407480931982
FTL10,all_straight,Sc3_All_medium,40.85027532017571
FTL10,all_straight,Sc4_Mixed_2H,71.243296072323
FTL10,all_straight,Sc5_Mixed_1H,57.01824974852709
FTL10,all_straight,Sc6_Mixed_ML,38.14240316069741
FTL10,assymetric_random,Sc1_All_low,34.327690814221576
FTL10,assymetric_random,Sc2_All_high_3H,98.81148248288558
FTL10,assymetric_random,Sc3_All_medium,53.354500223257
FTL10,assymetric_random,Sc4_Mixed_2H,82.92722868217054
FTL10,assymetric_random,Sc5_Mixed_1H,67.62584931300015
FTL10,assymetric_random,Sc6_Mixed_ML,43.701891799349426
FTL10,uniform_random,Sc1_All_low,34.2010970048071
FTL10,uniform_random,Sc2_All_high_3H,100.32575979387481
FTL10,uniform_random,Sc3_All_medium,59.971598789559955
FTL10,uniform_random,Sc4_Mixed_2H,84.75296136761341
FTL10,uniform_random,Sc5_Mixed_1H,69.42160469667319
FTL10,uniform_random,Sc6_Mixed_ML,45.05741812840232
FTL20,all_left,Sc1_All_low,36.052422314656226
FTL20,all_left,Sc2_All_high_3H,53.669404427266336
FTL20,all_left,Sc3_All_medium,38.977821106507434
FTL20,all_left,Sc4_Mixed_2H,51.157934131736525
FTL20,all_left,Sc5_Mixed_1H,45.252778680532984
FTL20,all_left,Sc6_Mixed_ML,37.53610062893082
FTL20,all_straight,Sc1_All_low,32.34414042978511
FTL20,all_straight,Sc2_All_high_3H,51.31211949904331
FTL20,all_straight,Sc3_All_medium,35.37484700122399
FTL20,all_straight,Sc4_Mixed_2H,47.78776513191929
FTL20,all_straight,Sc5_Mixed_1H,42.927198402296696
FTL20,all_straight,Sc6_Mixed_ML,34.583389601620524
FTL20,assymetric_random,Sc1_All_low,36.1038130528329
FTL20,assymetric_random,Sc2_All_high_3H,74.69201199168319
FTL20,assymetric_random,Sc3_All_medium,42.270090391282814
FTL20,assymetric_random,Sc4_Mixed_2H,63.923475819390326
FTL20,assymetric_random,Sc5_Mixed_1H,52.16983211252998
FTL20,assymetric_random,Sc6_Mixed_ML,39.04059810854562
FTL20,uniform_random,Sc1_All_low,35.69922202274088
FTL20,uniform_random,Sc2_All_high_3H,75.6974033121529
FTL20,uniform_random,Sc3_All_medium,43.15397147424075
FTL20,uniform_random,Sc4_Mixed_2H,66.79396243545366
FTL20,uniform_random,Sc5_Mixed_1H,52.517464514333426
FTL20,uniform_random,Sc6_Mixed_ML,39.45952281289242
FTL30,all_left,Sc1_All_low,38.5679427592955
FTL30,all_left,Sc2_All_high_3H,51.27709149769978
FTL30,all_left,Sc3_All_medium,41.47236071295027
FTL30,all_left,Sc4_Mixed_2H,49.06462052406305
FTL30,all_left,Sc5_Mixed_1H,45.96396681654107
FTL30,all_left,Sc6_Mixed_ML,40.084712168217855
FTL30,all_straight,Sc1_All_low,35.31825495049505
FTL30,all_straight,Sc2_All_high_3H,44.29039673080197
FTL30,all_straight,Sc3_All_medium,37.67120160130106
FTL30,all_straight,Sc4_Mixed_2H,42.1432845917677
FTL30,all_straight,Sc5_Mixed_1H,40.31996182703699
FTL30,all_straight,Sc6_Mixed_ML,36.894927845615236
FTL30,assymetric_random,Sc1_All_low,38.62783642761801
FTL30,assymetric_random,Sc2_All_high_3H,68.55732662192393
FTL30,assymetric_random,Sc3_All_medium,43.84769135419894
FTL30,assymetric_random,Sc4_Mixed_2H,60.21836555360281
FTL30,assymetric_random,Sc5_Mixed_1H,51.12652131467621
FTL30,assymetric_random,Sc6_Mixed_ML,41.214791022930555
FTL30,uniform_random,Sc1_All_low,38.34105224157095
FTL30,uniform_random,Sc2_All_high_3H,70.377326208222
FTL30,uniform_random,Sc3_All_medium,44.261014644997836
FTL30,uniform_random,Sc4_Mixed_2H,60.74155665566557
FTL30,uniform_random,Sc5_Mixed_1H,50.28412077913325
FTL30,uniform_random,Sc6_Mixed_ML,40.33954007207826
FTL40,all_left,Sc1_All_low,41.50939253476458
FTL40,all_left,Sc2_All_high_3H,51.11099576087897
FTL40,all_left,Sc3_All_medium,44.39365963572636
FTL40,all_left,Sc4_Mixed_2H,49.432478107236136
FTL40,all_left,Sc5_Mixed_1H,47.08828598597409
FTL40,all_left,Sc6_Mixed_ML,42.944929163787144
FTL40,all_straight,Sc1_All_low,38.24817743729149
FTL40,all_straight,Sc2_All_high_3H,45.1376009377442
FTL40,all_straight,Sc3_All_medium,40.45600247524752
FTL40,all_straight,Sc4_Mixed_2H,44.43965214776202
FTL40,all_straight,Sc5_Mixed_1H,42.74232186732187
FTL40,all_straight,Sc6_Mixed_ML,39.73405345401759
FTL40,assymetric_random,Sc1_All_low,41.235611962804725
FTL40,assymetric_random,Sc2_All_high_3H,65.27440627266135
FTL40,assymetric_random,Sc3_All_medium,45.731783527059115
FTL40,assymetric_random,Sc4_Mixed_2H,59.592908535920635
FTL40,assymetric_random,Sc5_Mixed_1H,51.37548887606591
FTL40,assymetric_random,Sc6_Mixed_ML,43.33340775138418
FTL40,uniform_random,Sc1_All_low,41.13
FTL40,uniform_random,Sc2_All_high_3H,68.21984613975638
FTL40,uniform_random,Sc3_All_medium,46.21427222362125
FTL40,uniform_random,Sc4_Mixed_2H,60.640115995446905
FTL40,uniform_random,Sc5_Mixed_1H,51.050846387064176
FTL40,uniform_random,Sc6_Mixed_ML,43.48059086224665
