vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_3012.0,24.5,3.0,0
flow_201.0,24.0,2.5,0
flow_301.0,41.5,3.5,0
flow_301.1,26.5,2.5,0
flow_101.0,26.5,3.0,0
flow_001.0,38.5,4.0,0
flow_0012.0,33.0,4.0,0
flow_0012.1,27.0,3.5,0
flow_00.0,26.0,3.0,0
flow_001.1,27.0,2.5,0
flow_001.2,26.5,3.0,0
flow_3012.1,42.0,4.0,0
flow_101.1,41.0,7.0,0
flow_201.1,26.5,3.0,0
flow_201.2,26.0,2.5,0
flow_201.3,26.0,2.5,0
flow_301.2,35.5,3.5,0
flow_20.0,26.0,3.5,0
flow_201.4,25.0,2.5,0
flow_001.3,25.5,2.5,0
flow_201.5,25.0,2.5,0
flow_301.3,33.5,3.5,0
flow_1012.0,44.0,5.5,0
flow_301.4,26.0,3.0,0
flow_001.4,43.0,3.5,0
flow_3012.2,36.0,4.5,0
flow_301.5,28.0,3.0,0
flow_3012.3,24.0,3.0,0
flow_1012.1,28.5,5.5,0
flow_20.1,33.5,4.0,0
flow_0012.2,36.5,6.0,0
flow_10.0,33.0,4.0,0
flow_301.6,41.0,3.5,0
flow_201.6,38.5,3.5,0
flow_0012.3,42.5,6.5,0
flow_301.7,33.0,3.5,0
flow_10.1,22.5,2.0,0
flow_001.5,32.5,3.5,0
flow_201.7,24.5,2.5,0
flow_10.2,39.0,4.0,0
flow_301.8,43.5,3.5,0
flow_101.2,34.0,3.0,0
flow_201.8,26.0,2.5,0
flow_30.0,31.0,3.5,0
flow_101.3,42.0,3.5,0
flow_1012.2,41.5,3.5,0
flow_20.2,40.0,4.0,0
flow_2012.0,28.0,4.0,0
flow_1012.3,37.0,4.5,0
flow_00.1,38.0,4.0,0
flow_201.9,39.5,3.5,0
flow_001.6,34.5,3.0,0
flow_201.10,29.0,3.5,0
flow_1012.4,36.5,4.0,0
flow_00.2,21.5,2.0,0
flow_20.3,23.0,2.0,0
flow_201.11,25.0,2.5,0
flow_101.4,37.0,3.5,0
flow_101.5,30.0,3.0,0
flow_301.9,25.5,2.5,0
flow_2012.1,43.5,4.5,0
flow_00.3,35.5,6.5,0
flow_20.4,38.5,3.0,0
flow_00.4,31.5,4.0,0
flow_001.7,25.5,2.5,0
flow_1012.5,29.0,4.0,0
flow_1012.6,25.5,3.5,0
flow_3012.4,24.5,3.0,0
flow_20.5,27.0,3.5,0
flow_001.8,31.0,3.5,0
flow_001.9,30.0,3.0,0
flow_301.10,38.5,3.5,0
flow_001.10,26.0,3.0,0
flow_101.6,23.5,2.0,0
flow_1012.7,25.0,3.5,0
flow_101.7,35.0,3.5,0
flow_301.11,32.0,3.5,0
flow_301.12,32.0,3.0,0
flow_3012.5,29.5,3.0,0
flow_001.11,32.5,3.5,0
flow_201.12,43.0,3.5,0
flow_2012.2,30.0,3.5,0
flow_001.12,26.5,3.0,0
flow_301.13,39.0,3.5,0
flow_20.6,38.5,4.0,0
flow_201.13,38.5,3.0,0
flow_201.14,31.5,3.0,0
flow_301.14,26.0,2.5,0
flow_20.7,47.0,4.0,0
flow_2012.3,48.5,4.0,0
flow_3012.6,26.5,3.5,0
