vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_3012.0,23.5,3.0,0
flow_10.0,23.0,3.0,0
flow_30.0,23.0,2.0,0
flow_20.0,35.0,4.0,0
flow_001.0,35.0,3.5,0
flow_201.0,27.0,2.5,0
flow_0012.0,35.5,4.5,0
flow_3012.1,42.0,4.5,0
flow_10.1,45.5,6.5,0
flow_301.0,39.0,3.0,0
flow_10.2,44.0,4.0,0
flow_301.1,38.0,3.0,0
flow_101.0,42.5,2.5,0
flow_2012.0,43.5,4.5,0
flow_20.1,41.5,3.0,0
flow_001.1,47.0,7.0,0
flow_10.3,58.0,4.0,0
flow_30.1,46.0,4.0,0
flow_101.1,54.5,3.0,0
flow_301.2,44.5,3.0,0
flow_301.3,41.0,3.0,0
flow_1012.0,57.0,6.0,0
flow_20.2,40.0,4.0,0
flow_001.2,32.0,3.5,0
flow_2012.1,38.5,3.5,0
flow_20.3,36.0,3.0,0
flow_0012.1,31.0,6.5,0
flow_101.2,71.0,3.5,0
flow_301.4,58.5,3.5,0
flow_3012.2,58.5,4.0,0
flow_10.4,72.5,6.0,0
flow_301.5,56.0,3.0,0
flow_10.5,71.0,4.0,0
flow_00.0,42.0,4.0,0
flow_201.1,43.0,3.5,0
flow_0012.2,41.5,3.5,0
flow_2012.2,35.5,3.5,0
flow_2012.3,35.0,4.0,0
flow_30.2,72.5,4.0,0
flow_101.3,86.5,3.5,0
flow_101.4,85.5,3.0,0
flow_301.6,74.5,3.5,0
flow_1012.1,85.5,4.0,0
flow_30.3,72.0,6.0,0
flow_201.2,51.5,3.5,0
flow_001.3,62.5,3.5,0
flow_0012.3,59.5,4.0,0
flow_2012.4,52.5,4.0,0
flow_0012.4,55.0,4.0,0
flow_301.7,87.5,3.5,0
flow_101.5,103.5,4.0,0
flow_30.4,81.5,3.0,0
flow_101.6,102.0,3.5,0
flow_301.8,79.5,2.5,0
flow_1012.2,102.0,5.0,0
flow_00.1,70.0,4.0,0
flow_201.3,57.0,3.5,0
flow_20.4,55.5,3.0,0
flow_0012.5,72.5,5.5,0
flow_0012.6,63.0,4.0,0
flow_30.5,92.0,4.0,0
flow_1012.3,112.0,7.5,0
flow_30.6,93.0,5.0,0
flow_1012.4,112.5,6.5,0
flow_00.2,75.5,4.0,0
flow_201.4,56.0,3.5,0
flow_0012.7,72.0,4.0,0
flow_2012.5,56.0,3.5,0
flow_20.5,43.0,3.0,0
flow_001.4,51.5,3.0,0
flow_301.9,112.5,3.5,0
flow_101.7,113.5,3.5,0
flow_10.6,100.0,3.0,0
flow_301.10,112.0,3.0,0
flow_30.7,108.0,3.0,0
flow_10.7,81.5,3.0,0
flow_00.3,66.5,4.0,0
flow_2012.6,55.0,7.5,0
flow_20.6,52.5,3.5,0
flow_00.4,55.5,5.0,0
flow_001.5,30.0,3.0,0
flow_30.8,124.0,4.0,0
flow_101.8,97.5,3.5,0
flow_30.9,110.5,3.0,0
flow_3012.3,109.5,3.5,0
