vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_30.0,20.5,1.5,0
flow_00.0,32.5,4.0,0
flow_20.0,35.5,4.0,0
flow_201.0,36.0,3.0,0
flow_0012.0,34.5,6.0,0
flow_10.0,43.0,4.0,0
flow_3012.0,25.5,3.0,0
flow_0012.1,24.0,3.0,0
flow_201.1,27.5,3.5,0
flow_0012.2,25.5,3.5,0
flow_30.1,36.0,4.0,0
flow_20.1,20.0,1.5,0
flow_3012.1,25.5,3.5,0
flow_10.1,36.5,5.5,0
flow_3012.2,28.5,5.5,0
flow_101.0,39.5,4.5,0
flow_201.2,40.5,3.5,0
flow_001.0,33.0,3.5,0
flow_201.3,41.0,3.5,0
flow_2012.0,38.0,4.0,0
flow_10.2,44.5,4.0,0
flow_30.2,33.0,4.0,0
flow_301.0,27.5,2.5,0
flow_10.3,44.0,3.0,0
flow_1012.0,44.0,3.5,0
flow_00.1,24.0,2.5,0
flow_201.4,47.5,3.5,0
flow_301.1,45.5,3.5,0
flow_1012.1,65.0,6.5,0
flow_30.3,44.0,3.5,0
flow_101.1,34.0,3.0,0
flow_301.2,27.0,2.5,0
flow_20.2,41.0,4.0,0
flow_001.1,27.0,3.0,0
flow_201.5,40.0,3.0,0
flow_20.3,37.0,3.0,0
flow_10.4,41.0,4.0,0
flow_3012.3,44.5,7.5,0
flow_10.5,26.0,4.5,0
flow_3012.4,47.0,7.5,0
flow_201.6,48.5,3.5,0
flow_20.4,35.0,3.0,0
flow_201.7,27.5,2.5,0
flow_30.4,47.5,4.0,0
flow_30.5,33.5,3.0,0
flow_20.5,42.5,4.0,0
flow_00.2,34.0,4.0,0
flow_001.2,27.5,3.0,0
flow_101.2,25.5,2.5,0
flow_0012.3,37.0,4.5,0
flow_2012.1,38.0,4.5,0
flow_20.6,29.5,3.0,0
flow_201.8,30.5,3.0,0
flow_3012.5,40.5,4.0,0
flow_1012.2,36.0,4.5,0
flow_1012.3,25.0,3.0,0
flow_301.3,33.5,6.0,0
flow_101.3,25.5,2.5,0
flow_0012.4,25.5,3.0,0
flow_2012.2,37.5,4.0,0
flow_2012.3,37.0,3.5,0
flow_201.9,37.0,3.0,0
flow_3012.6,49.0,4.0,0
flow_301.4,31.0,3.0,0
flow_101.4,44.5,7.0,0
flow_20.7,50.0,4.0,0
flow_0012.5,35.0,6.5,0
flow_20.8,49.5,5.0,0
flow_30.6,38.5,4.0,0
flow_3012.7,35.0,3.5,0
flow_301.5,32.5,2.5,0
flow_2012.4,44.0,4.0,0
flow_20.9,39.0,3.0,0
flow_20.10,29.0,3.0,0
flow_30.7,25.5,3.0,0
flow_3012.8,52.5,4.5,0
flow_0012.6,26.5,3.5,0
flow_201.10,44.0,6.5,0
flow_0012.7,30.0,5.0,0
flow_101.5,39.5,3.5,0
flow_301.6,24.5,2.5,0
flow_3012.9,25.0,3.5,0
flow_201.11,55.0,3.5,0
flow_0012.8,39.0,5.0,0
flow_001.3,30.5,3.0,0
flow_201.12,49.5,3.5,0
flow_20.11,46.5,3.0,0
flow_301.7,44.0,3.5,0
flow_101.6,47.0,4.0,0
flow_1012.4,45.0,3.5,0
flow_3012.10,37.5,4.0,0
flow_0012.9,42.0,4.5,0
flow_201.13,35.5,4.0,0
flow_30.8,41.5,4.0,0
flow_3012.11,27.0,3.5,0
flow_3012.12,27.0,3.5,0
flow_20.12,21.0,1.5,0
flow_30.9,33.0,4.0,0
flow_2012.5,32.0,4.0,0
flow_001.4,26.5,2.5,0
flow_10.6,20.5,1.5,0
flow_20.13,41.0,4.0,0
flow_10.7,37.5,4.0,0
flow_301.8,40.0,3.5,0
flow_3012.13,28.0,4.0,0
flow_0012.10,32.0,4.0,0
flow_00.3,29.0,3.0,0
flow_20.14,42.5,6.0,0
flow_20.15,30.0,3.5,0
flow_2012.6,25.5,3.5,0
flow_30.10,33.0,4.0,0
flow_1012.5,29.0,5.5,0
flow_30.11,31.0,6.0,0
flow_3012.14,30.0,4.5,0
flow_20.16,22.0,2.5,0
