vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_00.0,23.5,3.0,0
flow_10.0,24.5,3.0,0
flow_30.0,32.0,4.0,0
flow_30.1,32.0,4.0,0
flow_30.2,29.0,4.0,0
flow_10.1,25.5,3.5,0
flow_20.0,53.0,4.0,0
flow_00.1,40.0,4.5,0
flow_20.1,45.5,4.0,0
flow_00.2,24.5,3.0,0
flow_20.2,45.0,4.5,0
flow_20.3,41.5,4.0,0
flow_20.4,35.0,4.0,0
flow_00.3,24.5,3.0,0
flow_20.5,34.5,4.5,0
flow_20.6,33.0,4.0,0
flow_30.3,48.0,4.0,0
flow_10.2,31.0,4.0,0
flow_30.4,33.0,4.0,0
flow_10.3,24.5,3.0,0
flow_30.5,33.0,4.0,0
flow_10.4,24.5,3.0,0
flow_30.6,27.0,4.0,0
flow_10.5,25.0,3.0,0
flow_20.7,57.5,4.5,0
flow_00.4,53.0,4.5,0
flow_20.8,57.5,4.0,0
flow_00.5,53.0,4.0,0
flow_20.9,56.5,4.0,0
flow_00.6,52.0,4.0,0
flow_20.10,55.5,4.0,0
flow_00.7,50.5,4.0,0
flow_00.8,49.0,4.5,0
flow_20.11,55.0,4.5,0
flow_20.12,53.0,4.0,0
flow_00.9,35.0,4.0,0
flow_20.13,51.0,4.0,0
flow_30.7,52.5,4.0,0
flow_10.6,47.5,4.5,0
flow_30.8,37.5,4.0,0
flow_10.7,45.0,4.0,0
flow_10.8,37.0,4.0,0
flow_10.9,36.5,4.0,0
flow_10.10,29.5,4.5,0
flow_10.11,26.5,3.5,0
flow_20.14,77.5,4.5,0
flow_00.10,55.0,4.5,0
flow_20.15,74.0,4.0,0
flow_00.11,50.0,4.0,0
flow_20.16,60.0,4.0,0
flow_20.17,58.5,3.5,0
flow_00.12,27.0,3.5,0
flow_20.18,58.0,4.0,0
flow_20.19,57.0,4.0,0
flow_20.20,55.5,4.0,0
flow_30.9,39.0,4.0,0
flow_10.12,52.5,4.5,0
flow_10.13,53.0,4.5,0
flow_10.14,48.5,4.5,0
flow_10.15,47.0,4.0,0
flow_10.16,46.0,4.0,0
flow_30.10,24.0,3.0,0
flow_10.17,45.0,4.5,0
flow_10.18,44.0,4.0,0
flow_00.13,45.0,4.0,0
flow_20.21,80.0,4.5,0
flow_20.22,76.0,4.0,0
flow_00.14,41.0,4.0,0
flow_20.23,67.5,4.0,0
flow_20.24,38.5,3.5,0
