vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_2012.0,24.5,3.0,0
flow_101.0,25.5,2.5,0
flow_101.1,25.0,2.5,0
flow_301.0,26.0,3.0,0
flow_30.0,24.0,2.0,0
flow_1012.0,27.5,6.0,0
flow_101.2,27.5,3.0,0
flow_201.0,51.5,3.5,0
flow_001.0,36.0,3.5,0
flow_00.0,30.0,3.0,0
flow_0012.0,30.5,3.5,0
flow_001.1,24.5,2.5,0
flow_0012.1,24.0,3.0,0
flow_3012.0,55.0,4.5,0
flow_10.0,55.5,5.5,0
flow_3012.1,40.5,5.5,0
flow_301.1,38.0,3.0,0
flow_30.1,31.5,3.0,0
flow_101.3,60.0,4.0,0
flow_101.4,58.0,3.0,0
flow_301.2,32.5,3.0,0
flow_1012.1,58.5,4.5,0
flow_301.3,34.0,6.0,0
flow_201.1,51.5,3.5,0
flow_001.2,53.0,4.0,0
flow_20.0,37.5,3.0,0
flow_00.1,49.5,3.0,0
flow_201.2,34.5,2.5,0
flow_001.3,49.5,3.0,0
flow_0012.2,45.0,3.5,0
flow_001.4,36.5,3.0,0
flow_201.3,25.5,2.5,0
flow_001.5,36.5,3.0,0
flow_001.6,35.5,3.0,0
flow_30.2,46.0,4.0,0
flow_10.1,84.0,4.0,0
flow_101.5,84.0,3.0,0
flow_1012.2,65.5,3.5,0
flow_3012.2,48.5,5.0,0
flow_10.2,62.5,2.5,0
flow_301.4,44.5,3.5,0
flow_1012.3,45.0,4.0,0
flow_301.5,48.0,4.5,0
flow_1012.4,30.5,6.5,0
flow_201.4,45.5,3.5,0
flow_0012.3,50.5,6.5,0
flow_001.7,47.5,3.0,0
flow_00.2,41.0,3.0,0
flow_20.1,21.5,2.0,0
flow_001.8,40.5,2.5,0
flow_00.3,37.5,2.5,0
flow_001.9,28.5,3.0,0
flow_0012.4,26.5,3.5,0
flow_301.6,74.0,3.5,0
flow_101.6,54.0,3.5,0
flow_301.7,70.5,3.0,0
flow_101.7,54.0,3.0,0
flow_3012.3,68.0,4.0,0
flow_101.8,49.0,7.0,0
flow_3012.4,59.5,5.5,0
flow_10.3,40.5,3.5,0
flow_301.8,56.5,3.5,0
flow_301.9,55.0,3.0,0
flow_20.2,33.0,4.0,0
flow_001.10,24.5,2.0,0
flow_001.11,25.0,2.5,0
flow_001.12,26.5,3.0,0
flow_00.4,22.5,2.0,0
flow_30.3,75.0,4.0,0
flow_101.9,64.5,4.0,0
flow_30.4,74.5,3.0,0
flow_101.10,61.5,3.0,0
flow_30.5,70.5,3.0,0
flow_10.4,56.5,3.0,0
flow_301.10,63.5,2.5,0
flow_1012.5,60.0,6.0,0
flow_1012.6,59.0,4.5,0
flow_30.6,46.0,6.0,0
flow_1012.7,55.0,7.0,0
flow_0012.5,51.0,4.5,0
flow_001.13,50.5,3.0,0
flow_00.5,48.0,3.0,0
flow_001.14,42.5,2.5,0
flow_0012.6,39.0,3.5,0
flow_001.15,30.5,2.5,0
flow_201.5,28.5,3.5,0
flow_001.16,25.5,3.0,0
flow_101.11,77.0,3.5,0
flow_301.11,68.5,3.5,0
flow_30.7,66.5,3.0,0
flow_101.12,70.0,3.5,0
flow_3012.5,57.5,4.0,0
flow_101.13,72.0,7.0,0
flow_3012.6,36.5,5.0,0
flow_3012.7,35.5,4.5,0
flow_301.12,32.5,2.5,0
flow_101.14,68.0,4.0,0
flow_00.6,52.0,4.0,0
flow_20.3,35.0,4.0,0
flow_0012.7,46.0,4.0,0
flow_001.17,41.5,3.0,0
flow_201.6,26.0,2.5,0
flow_001.18,40.5,3.0,0
flow_001.19,32.5,3.0,0
flow_001.20,31.0,3.0,0
flow_20.4,21.5,1.5,0
flow_10.5,73.5,4.0,0
flow_30.8,54.0,4.0,0
flow_10.6,68.0,3.0,0
flow_301.13,48.0,2.5,0
flow_30.9,42.0,3.0,0
flow_10.7,66.5,3.0,0
flow_101.15,57.5,2.5,0
flow_301.14,41.0,2.5,0
flow_3012.8,35.5,3.5,0
flow_301.15,27.0,2.5,0
flow_101.16,57.5,6.5,0
flow_101.17,56.0,3.0,0
flow_001.21,45.5,3.5,0
flow_201.7,26.5,3.0,0
flow_001.22,44.0,3.5,0
flow_00.7,34.0,3.0,0
flow_001.23,30.5,2.5,0
flow_001.24,30.0,3.0,0
flow_001.25,26.5,3.0,0
flow_101.18,81.0,3.5,0
flow_301.16,51.0,3.5,0
flow_10.8,60.5,3.0,0
flow_30.10,45.5,3.5,0
flow_3012.9,54.5,7.0,0
flow_101.19,67.0,3.0,0
flow_301.17,46.0,3.0,0
flow_101.20,65.5,3.0,0
flow_301.18,46.5,3.0,0
flow_101.21,52.5,3.0,0
flow_301.19,38.0,3.5,0
flow_2012.1,44.0,4.0,0
flow_0012.8,53.5,4.5,0
flow_001.26,52.0,3.0,0
flow_201.8,44.5,3.0,0
flow_20.5,37.5,3.0,0
flow_001.27,51.0,3.0,0
flow_20.6,30.0,3.0,0
flow_001.28,50.5,3.0,0
flow_201.9,27.0,2.5,0
flow_0012.9,51.5,5.5,0
flow_001.29,48.0,3.0,0
flow_201.10,29.5,3.5,0
flow_30.11,61.0,4.0,0
flow_10.9,77.0,4.0,0
flow_10.10,75.5,3.0,0
flow_301.20,62.0,3.0,0
flow_1012.8,76.0,4.0,0
flow_10.11,73.0,2.5,0
flow_301.21,64.5,6.5,0
flow_101.22,73.0,2.5,0
flow_301.22,49.5,3.5,0
flow_101.23,71.5,2.5,0
flow_10.12,68.0,2.5,0
flow_301.23,50.5,3.5,0
flow_001.30,75.0,3.5,0
flow_201.11,27.5,3.0,0
flow_001.31,75.0,3.0,0
flow_0012.10,74.0,3.5,0
flow_0012.11,73.0,4.0,0
flow_001.32,71.0,2.5,0
flow_2012.2,26.5,4.5,0
flow_001.33,72.0,3.5,0
flow_30.12,74.0,4.0,0
flow_101.24,94.0,4.0,0
flow_301.24,74.5,3.0,0
flow_3012.10,73.5,3.5,0
flow_1012.9,91.5,5.0,0
flow_1012.10,88.5,4.0,0
flow_1012.11,86.5,4.0,0
flow_1012.12,83.5,4.0,0
flow_10.13,60.0,3.0,0
flow_301.25,80.0,4.0,0
flow_20.7,34.0,4.0,0
flow_001.34,87.5,3.5,0
flow_201.12,34.5,3.0,0
flow_001.35,87.0,3.0,0
flow_001.36,85.5,3.0,0
flow_201.13,33.5,3.0,0
flow_00.8,82.5,3.0,0
flow_001.37,81.5,2.5,0
flow_001.38,80.0,3.0,0
flow_001.39,63.0,3.0,0
flow_10.14,86.0,4.0,0
flow_301.26,106.5,3.5,0
flow_301.27,106.0,3.0,0
flow_101.25,87.5,3.0,0
flow_101.26,69.0,3.0,0
flow_301.28,106.0,3.5,0
flow_101.27,68.0,3.0,0
flow_301.29,102.5,3.5,0
flow_30.13,97.0,2.5,0
flow_10.15,64.5,2.5,0
flow_101.28,63.5,2.5,0
flow_301.30,96.5,2.5,0
flow_30.14,92.0,2.5,0
flow_101.29,62.5,3.0,0
flow_2012.3,47.5,4.5,0
flow_001.40,91.0,7.0,0
flow_201.14,47.0,3.0,0
flow_2012.4,38.5,4.5,0
flow_001.41,95.5,4.5,0
flow_00.9,91.5,3.0,0
flow_0012.12,92.5,3.5,0
flow_10.16,86.0,4.0,0
flow_301.31,120.0,3.5,0
flow_301.32,97.0,3.0,0
flow_101.30,86.5,3.0,0
flow_101.31,85.5,3.0,0
flow_301.33,94.5,3.5,0
flow_3012.11,91.5,3.5,0
flow_101.32,87.5,6.5,0
flow_3012.12,90.0,5.5,0
flow_1012.13,86.5,4.0,0
flow_001.42,117.5,3.5,0
flow_201.15,45.5,3.5,0
flow_20.8,40.5,3.0,0
flow_001.43,97.0,3.0,0
flow_20.9,39.5,3.0,0
flow_001.44,94.5,3.0,0
flow_0012.13,93.0,3.5,0
flow_2012.5,39.5,3.5,0
flow_2012.6,38.5,3.5,0
flow_0012.14,92.0,4.0,0
flow_201.16,38.0,3.0,0
flow_001.45,91.5,3.0,0
flow_0012.15,89.5,4.0,0
flow_201.17,41.0,6.5,0
flow_301.34,93.5,3.5,0
flow_101.33,94.0,3.5,0
flow_3012.13,91.5,4.0,0
flow_1012.14,92.0,4.0,0
flow_1012.15,91.5,4.0,0
flow_30.15,93.5,6.5,0
flow_101.34,90.0,3.0,0
flow_3012.14,92.0,5.0,0
flow_30.16,88.0,3.0,0
flow_101.35,91.5,3.5,0
flow_301.35,88.0,3.0,0
flow_2012.7,62.5,4.5,0
flow_001.46,118.5,7.5,0
flow_001.47,98.0,3.5,0
flow_0012.16,92.5,3.5,0
flow_0012.17,91.0,4.0,0
flow_001.48,87.5,3.0,0
flow_201.18,26.0,2.5,0
flow_10.17,118.0,4.0,0
flow_30.17,113.5,4.0,0
flow_301.36,97.5,3.0,0
flow_10.18,100.5,3.5,0
flow_1012.16,122.5,5.5,0
flow_301.37,98.0,3.5,0
flow_10.19,98.0,3.0,0
flow_3012.15,98.5,5.0,0
flow_301.38,97.5,3.5,0
flow_101.36,101.5,3.5,0
flow_00.10,92.0,4.0,0
flow_2012.8,43.5,5.0,0
flow_00.11,93.5,6.5,0
flow_20.10,35.0,3.0,0
flow_001.49,92.5,4.0,0
flow_0012.18,86.0,3.5,0
flow_00.12,71.5,2.5,0
flow_001.50,86.5,3.0,0
flow_201.19,29.0,3.5,0
flow_20.11,25.0,2.5,0
flow_10.20,125.0,4.0,0
flow_3012.16,125.5,7.5,0
flow_1012.17,125.5,4.0,0
flow_10.21,98.0,3.0,0
flow_301.39,101.0,3.5,0
flow_1012.18,98.5,4.0,0
flow_10.22,94.5,3.0,0
flow_301.40,101.5,3.5,0
flow_10.23,92.5,3.0,0
flow_301.41,100.5,3.0,0
flow_101.37,91.0,3.0,0
flow_0012.19,100.0,4.0,0
flow_2012.9,29.0,4.0,0
flow_2012.10,29.0,4.0,0
flow_0012.20,92.5,4.0,0
flow_2012.11,28.0,4.0,0
flow_0012.21,69.5,4.0,0
flow_00.13,65.5,3.0,0
flow_0012.22,65.0,3.5,0
flow_001.51,63.0,2.0,0
flow_00.14,59.5,2.0,0
flow_201.20,25.5,2.5,0
flow_101.38,92.0,3.5,0
flow_301.42,127.0,3.5,0
flow_1012.19,91.0,4.0,0
flow_30.18,128.5,6.0,0
flow_101.39,89.0,3.0,0
flow_301.43,125.5,3.5,0
flow_1012.20,89.0,4.0,0
flow_101.40,83.0,2.5,0
flow_301.44,108.0,4.0,0
flow_101.41,61.0,3.0,0
flow_30.19,103.5,3.5,0
flow_10.24,56.5,2.5,0
flow_2012.12,34.0,4.5,0
flow_20.12,32.0,3.0,0
flow_001.52,69.0,7.5,0
flow_001.53,68.5,3.5,0
flow_0012.23,45.0,3.5,0
flow_2012.13,29.5,6.0,0
flow_20.13,26.5,3.0,0
flow_001.54,39.5,3.5,0
flow_20.14,26.5,2.5,0
flow_00.15,38.0,3.0,0
flow_20.15,25.0,2.5,0
flow_10.25,83.0,4.0,0
flow_3012.17,133.5,7.5,0
flow_301.45,131.5,3.5,0
flow_30.20,127.0,3.0,0
flow_101.42,87.5,3.0,0
flow_101.43,86.5,3.0,0
flow_301.46,104.0,2.5,0
flow_1012.21,86.0,4.0,0
flow_30.21,93.5,3.0,0
flow_10.26,82.0,3.5,0
flow_3012.18,100.5,4.0,0
flow_2012.14,50.0,4.5,0
flow_0012.24,67.0,5.0,0
flow_20.16,38.5,3.0,0
flow_001.55,66.0,3.0,0
flow_001.56,65.0,3.0,0
flow_001.57,63.5,3.0,0
flow_001.58,63.0,3.0,0
flow_00.16,59.0,3.0,0
flow_001.59,59.5,2.5,0
flow_301.47,120.0,3.5,0
flow_101.44,93.5,3.5,0
flow_1012.22,92.0,4.0,0
flow_101.45,90.0,3.0,0
flow_301.48,100.5,7.0,0
flow_1012.23,89.5,4.0,0
flow_30.22,98.5,5.0,0
flow_101.46,87.5,2.5,0
flow_301.49,96.0,2.5,0
flow_101.47,86.0,3.0,0
flow_3012.19,95.0,3.5,0
flow_10.27,85.5,5.5,0
flow_00.17,83.0,4.0,0
flow_201.21,43.0,3.5,0
flow_00.18,82.5,3.0,0
flow_201.22,42.0,3.0,0
flow_001.60,83.0,2.5,0
flow_2012.15,44.5,5.5,0
flow_2012.16,34.5,4.5,0
flow_00.19,85.0,5.5,0
flow_201.23,33.0,3.0,0
flow_0012.25,85.0,4.5,0
flow_301.50,119.0,3.5,0
flow_10.28,90.0,4.0,0
flow_30.23,94.0,3.0,0
flow_10.29,86.5,3.0,0
flow_101.48,85.5,3.0,0
flow_3012.20,95.0,5.0,0
flow_30.24,89.5,3.0,0
flow_3012.21,94.0,4.5,0
flow_10.30,87.5,5.5,0
flow_1012.24,86.0,4.0,0
flow_30.25,92.0,6.0,0
flow_2012.17,38.5,4.5,0
flow_00.20,94.0,5.5,0
flow_201.24,38.0,3.0,0
flow_20.17,27.0,2.5,0
flow_001.61,95.0,4.0,0
flow_001.62,92.5,3.5,0
flow_001.63,91.5,3.0,0
flow_0012.26,89.5,4.0,0
flow_0012.27,87.5,3.5,0
flow_30.26,115.0,4.0,0
flow_101.49,93.5,3.5,0
flow_3012.22,97.5,4.0,0
flow_10.31,93.5,6.0,0
flow_3012.23,95.0,6.5,0
flow_301.51,92.5,3.0,0
flow_101.50,97.5,3.5,0
flow_10.32,96.5,4.0,0
flow_3012.24,93.5,4.5,0
flow_201.25,53.0,3.5,0
flow_0012.28,117.0,6.5,0
flow_00.21,96.0,3.5,0
flow_20.18,36.0,3.5,0
flow_20.19,24.0,2.0,0
flow_001.64,95.5,3.0,0
flow_001.65,93.0,3.0,0
flow_2012.18,27.5,4.5,0
flow_00.22,92.5,5.5,0
flow_001.66,90.0,3.0,0
flow_201.26,26.0,3.0,0
flow_301.52,118.0,3.5,0
flow_101.51,124.0,3.5,0
flow_30.27,95.0,3.0,0
flow_1012.25,125.5,7.0,0
flow_30.28,96.5,5.5,0
flow_101.52,124.0,3.5,0
flow_301.53,95.0,3.5,0
flow_101.53,106.0,3.0,0
flow_30.29,89.5,3.0,0
flow_301.54,94.0,3.5,0
flow_101.54,103.5,3.5,0
flow_101.55,101.5,3.5,0
flow_2012.19,44.5,4.5,0
flow_001.67,96.5,7.5,0
flow_2012.20,32.0,5.5,0
flow_00.23,94.5,3.5,0
flow_201.27,27.5,3.0,0
flow_001.68,95.0,3.0,0
flow_001.69,93.5,3.0,0
flow_201.28,27.0,3.0,0
flow_0012.29,93.0,4.0,0
flow_301.55,118.0,3.5,0
flow_101.56,126.5,3.5,0
flow_1012.26,123.5,3.5,0
flow_30.30,99.0,6.0,0
flow_101.57,99.5,3.0,0
flow_1012.27,95.0,3.0,0
flow_3012.25,97.0,5.0,0
flow_30.31,94.0,3.5,0
flow_10.33,90.5,3.0,0
flow_301.56,93.0,3.0,0
flow_10.34,86.0,3.0,0
flow_101.58,61.0,2.5,0
flow_3012.26,93.0,5.5,0
flow_2012.21,50.5,4.5,0
flow_201.29,50.0,3.0,0
flow_001.70,122.0,7.5,0
flow_2012.22,49.0,4.0,0
flow_201.30,37.0,2.5,0
flow_001.71,102.5,4.0,0
flow_20.20,33.0,2.5,0
flow_001.72,101.0,3.0,0
flow_001.73,100.0,3.5,0
flow_301.57,94.5,3.5,0
flow_1012.28,91.0,7.0,0
flow_101.59,87.5,3.5,0
flow_10.35,83.5,3.0,0
flow_301.58,94.5,3.5,0
flow_30.32,88.5,3.0,0
flow_101.60,83.5,2.5,0
flow_301.59,93.5,3.5,0
flow_30.33,87.5,3.0,0
flow_101.61,81.5,3.0,0
flow_30.34,85.5,3.0,0
flow_101.62,61.0,2.5,0
flow_101.63,58.5,3.0,0
flow_20.21,39.0,4.0,0
flow_001.74,126.5,3.5,0
flow_201.31,38.5,3.0,0
flow_0012.30,128.0,4.5,0
flow_0012.31,126.0,4.5,0
flow_001.75,99.0,2.5,0
flow_201.32,27.0,3.0,0
flow_001.76,97.5,3.0,0
flow_001.77,96.0,3.5,0
flow_10.36,83.5,4.0,0
flow_301.60,93.0,3.5,0
flow_301.61,90.5,3.0,0
flow_101.64,83.5,3.0,0
flow_10.37,80.5,3.0,0
flow_301.62,89.5,3.0,0
flow_10.38,78.5,2.5,0
