vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_20.0,21.5,2.0,0
flow_30.0,23.0,2.0,0
flow_3012.0,33.5,4.5,0
flow_101.0,25.5,2.5,0
flow_3012.1,28.5,5.0,0
flow_20.1,43.0,4.0,0
flow_001.0,51.0,3.5,0
flow_001.1,50.0,3.0,0
flow_001.2,49.0,3.0,0
flow_001.3,48.5,3.0,0
flow_001.4,26.0,2.5,0
flow_001.5,25.0,2.5,0
flow_301.0,24.5,2.5,0
flow_101.1,26.0,3.0,0
flow_10.0,21.5,2.0,0
flow_201.0,46.0,3.5,0
flow_0012.0,41.5,6.0,0
flow_001.6,40.0,3.0,0
flow_201.1,49.0,4.0,0
flow_0012.1,40.5,4.5,0
flow_201.2,41.5,4.0,0
flow_001.7,25.5,2.5,0
flow_2012.0,39.5,5.5,0
flow_10.1,49.5,4.0,0
flow_101.2,49.5,3.0,0
flow_001.8,54.5,3.5,0
flow_201.3,25.5,2.5,0
flow_001.9,52.0,3.0,0
flow_001.10,51.5,3.5,0
flow_00.0,35.0,2.5,0
flow_001.11,46.5,3.0,0
flow_201.4,26.5,3.0,0
flow_0012.2,23.5,2.5,0
flow_3012.2,26.5,3.5,0
flow_3012.3,26.0,3.5,0
flow_00.1,49.0,4.0,0
flow_001.12,48.5,3.0,0
flow_2012.1,30.0,5.0,0
flow_001.13,44.0,3.5,0
flow_0012.3,33.5,4.0,0
flow_201.5,27.0,3.5,0
flow_10.2,39.0,4.0,0
flow_3012.4,34.0,6.5,0
flow_30.1,30.0,3.5,0
flow_101.3,33.5,3.0,0
flow_101.4,32.0,3.0,0
flow_30.2,21.0,1.5,0
flow_201.6,54.5,3.5,0
flow_001.14,48.5,3.5,0
flow_001.15,48.0,3.0,0
flow_201.7,56.0,3.5,0
flow_001.16,47.5,3.0,0
flow_201.8,48.0,3.0,0
flow_00.2,23.0,2.0,0
flow_201.9,29.5,3.5,0
flow_201.10,28.0,3.5,0
flow_0012.4,26.5,4.0,0
flow_00.3,22.5,2.0,0
flow_301.1,41.5,3.5,0
flow_00.4,22.0,2.0,0
flow_20.2,51.0,4.0,0
flow_201.11,52.0,3.0,0
flow_2012.2,51.0,4.0,0
flow_0012.5,28.0,4.0,0
flow_201.12,36.0,3.0,0
flow_20.3,30.5,2.5,0
flow_201.13,26.5,3.0,0
flow_101.5,27.5,3.0,0
flow_301.2,52.5,3.5,0
flow_1012.0,27.0,4.0,0
flow_201.14,36.5,3.5,0
flow_001.17,37.0,3.5,0
flow_10.3,27.5,3.5,0
flow_001.18,47.5,3.5,0
flow_201.15,55.0,3.5,0
flow_00.5,38.0,3.0,0
flow_201.16,43.5,3.0,0
flow_0012.6,33.0,3.5,0
flow_001.19,31.0,3.0,0
flow_00.6,22.0,2.0,0
flow_201.17,37.5,7.0,0
flow_00.7,22.0,1.5,0
flow_201.18,35.0,3.5,0
flow_1012.1,23.5,2.5,0
flow_101.6,25.0,2.5,0
flow_10.4,20.0,1.5,0
flow_201.19,43.5,3.5,0
flow_001.20,40.5,3.5,0
flow_00.8,27.0,2.5,0
flow_2012.3,41.0,6.0,0
flow_0012.7,25.5,3.5,0
flow_2012.4,23.5,2.5,0
flow_001.21,27.0,3.0,0
flow_30.3,48.5,4.0,0
flow_10.5,30.5,3.5,0
flow_1012.2,32.0,4.0,0
flow_3012.5,51.0,4.0,0
flow_30.4,44.0,3.0,0
flow_301.3,28.0,2.5,0
flow_00.9,44.5,4.0,0
flow_201.20,53.5,3.5,0
flow_20.4,49.5,3.0,0
flow_20.5,48.5,3.0,0
flow_201.21,49.0,2.5,0
flow_20.6,45.0,2.5,0
flow_201.22,45.0,2.5,0
flow_2012.5,38.0,3.5,0
flow_301.4,43.5,3.5,0
flow_101.7,53.0,3.5,0
flow_301.5,27.5,3.0,0
flow_101.8,47.0,3.0,0
flow_10.6,31.5,3.0,0
flow_30.5,23.0,2.0,0
flow_1012.3,26.0,3.5,0
flow_2012.6,64.5,4.5,0
flow_001.22,41.0,7.5,0
flow_001.23,34.0,3.5,0
flow_001.24,25.5,2.5,0
flow_3012.6,38.5,4.5,0
flow_101.9,25.0,2.5,0
flow_001.25,48.0,3.5,0
flow_0012.8,36.0,3.5,0
flow_001.26,35.5,3.0,0
flow_00.10,33.0,2.5,0
flow_001.27,32.5,2.5,0
flow_001.28,32.5,3.5,0
flow_001.29,31.0,3.5,0
flow_1012.4,52.5,4.0,0
flow_3012.7,46.5,4.5,0
flow_301.6,46.5,3.0,0
flow_101.10,53.5,3.0,0
flow_301.7,45.5,3.0,0
flow_101.11,39.5,3.0,0
