vehicle_id,travel_time,zone_time,total_collisions_in_episode
flow_001.0,26.0,3.0,0
flow_101.0,29.0,3.5,0
flow_3012.0,27.5,4.5,0
flow_3012.1,26.0,4.0,0
flow_30.0,24.0,2.0,0
flow_30.1,22.5,2.0,0
flow_00.0,49.5,4.0,0
flow_201.0,26.0,3.0,0
flow_001.1,48.5,3.0,0
flow_00.1,26.0,2.5,0
flow_001.2,49.0,3.5,0
flow_00.2,25.0,2.5,0
flow_00.3,21.5,2.0,0
flow_10.0,39.0,4.0,0
flow_30.2,48.5,4.0,0
flow_10.1,24.5,2.5,0
flow_30.3,40.0,3.5,0
flow_301.0,25.5,2.5,0
flow_301.1,26.5,3.0,0
flow_30.4,23.5,2.5,0
flow_201.1,45.0,3.5,0
flow_001.3,53.0,3.5,0
flow_0012.0,50.0,4.0,0
flow_00.4,40.0,3.0,0
flow_001.4,41.0,3.0,0
flow_0012.1,38.5,3.5,0
flow_001.5,36.0,2.0,0
flow_00.5,32.5,2.0,0
flow_101.1,40.0,3.5,0
flow_2012.0,54.5,4.5,0
flow_001.6,66.0,7.0,0
flow_00.6,56.5,3.5,0
flow_0012.2,57.0,3.5,0
flow_0012.3,46.0,4.0,0
flow_20.0,28.0,6.0,0
flow_0012.4,41.0,6.5,0
flow_1012.0,43.5,4.5,0
flow_3012.2,23.5,3.0,0
flow_0012.5,56.5,4.0,0
flow_2012.1,47.5,4.5,0
flow_00.7,47.5,3.0,0
flow_00.8,47.0,3.0,0
flow_00.9,45.0,3.0,0
flow_00.10,44.0,2.5,0
flow_001.7,43.0,2.5,0
flow_00.11,40.0,2.5,0
flow_1012.1,29.0,4.0,0
flow_3012.3,53.0,4.5,0
flow_10.2,22.0,2.0,0
flow_3012.4,24.5,3.0,0
flow_00.12,67.0,4.0,0
flow_201.2,53.5,3.5,0
flow_00.13,67.0,3.0,0
flow_2012.2,36.0,7.0,0
flow_001.8,72.0,3.0,0
flow_00.14,69.0,3.0,0
flow_00.15,67.0,2.5,0
flow_2012.3,30.5,6.5,0
flow_10.3,44.0,4.0,0
flow_101.2,24.5,2.0,0
flow_10.4,20.0,1.5,0
flow_00.16,91.5,4.0,0
flow_201.3,52.5,3.5,0
